property_ID,booking_availability_30,booking_availability_60,booking_availability_90,booking_availability_365,reviews_num,reviews_last,reviews_rating,booking_cancel_policy
72,5,22,36,189,1,181,80,3
73,14,33,56,211,0,17298,97,3
74,10,25,41,202,0,17298,95.33333333,3
75,12,35,53,214,0,17298,98.66666667,3
76,8,8,36,120,25,1,93,2
77,0,0,0,128,3,12,100,3
78,0,0,0,0,0,17295,98.66666667,3
79,6,21,24,289,78,2,93,2
80,12,17,46,316,77,16,83,2
81,6,36,66,341,14,6,99,2
82,25,55,85,86,4,5,100,3
83,26,38,66,66,7,41,100,3
84,28,56,84,84,6,51,95,3
85,7,37,67,342,0,17295,79.33333333,3
86,7,9,22,222,29,195,96,2
87,11,15,30,237,48,19,96,2
88,30,60,90,194,1,12,100,3
89,0,0,0,128,14,544,91,3
90,0,7,28,288,44,315,81,1
91,12,21,21,252,157,4,98,2
92,0,5,11,11,39,7,96,2
93,18,25,55,56,27,21,97,2
94,2,2,2,67,8,55,90,3
95,0,0,0,0,29,22,90,1
96,20,50,80,355,1,17,100,3
97,0,0,0,0,0,17295,98.66666667,3
98,14,43,73,163,3,89,100,3
99,16,46,75,76,13,21,88,3
100,0,0,23,23,12,51,92,1
101,9,19,31,43,21,8,92,2
102,2,7,7,42,14,12,100,3
103,0,0,0,174,0,17295,98.66666667,1
104,30,60,90,365,3,883,93,2
105,0,0,0,35,0,17294,98.66666667,2
106,30,60,90,365,1,13,80,3
107,24,54,84,359,28,2,96,3
108,6,36,66,341,2,128,100,2
109,10,40,70,345,3,82,93,3
110,13,32,57,57,19,18,92,1
111,17,44,73,73,27,18,94,1
112,4,25,55,56,26,18,94,1
113,3,15,28,28,18,12,82,3
114,6,33,63,64,23,15,94,1
115,6,17,37,37,11,22,95,1
116,12,35,65,66,4,15,100,1
117,7,30,48,323,1,49,100,2
118,17,47,77,167,2,44,100,3
119,19,19,19,36,0,17295,72,2
120,17,47,77,352,8,21,98,1
121,19,45,75,350,185,11,95,1
122,10,18,35,303,179,4,95,1
123,14,24,43,238,37,23,98,1
124,23,53,83,83,13,5,97,3
125,2,17,29,94,1,138,100,2
126,5,19,25,92,0,17294,96.66666667,2
127,0,0,0,0,0,17295,98.66666667,2
128,0,0,0,0,0,17295,98.66666667,2
129,0,0,0,0,0,17295,98.66666667,2
130,11,36,63,321,2,12,100,1
131,0,0,0,222,3,131,93,2
132,12,17,20,243,21,19,91,2
133,7,32,62,271,69,6,92,3
134,7,37,67,342,2,8,70,3
135,16,31,61,191,16,1,80,2
136,0,0,2,3,3,51,100,3
137,13,41,69,69,3,18,73,2
138,15,34,64,154,1,163,91,3
139,20,36,55,110,6,12,90,3
140,4,14,14,54,0,17295,96,3
141,14,20,50,51,1,21,100,3
142,0,3,32,293,58,37,97,3
143,27,57,87,87,0,17295,86.66666667,3
144,18,48,67,67,6,26,84,3
145,0,0,0,0,17,76,96,2
146,16,42,72,347,10,139,88,1
147,0,0,0,0,0,17295,98.66666667,3
148,0,0,2,3,34,7,96,3
149,3,3,11,11,1,17,80,3
150,30,60,90,365,4,22,70,1
151,0,0,0,1,18,22,81,3
152,11,18,48,48,8,9,90,3
153,14,42,68,333,17,12,100,1
154,0,0,27,28,6,7,93,1
155,0,0,0,249,3,202,90,3
156,9,36,64,339,34,136,83,2
157,0,6,28,119,20,21,96,2
158,27,57,87,362,7,16,80,3
159,13,43,73,348,10,6,98,3
160,21,51,77,352,10,1,90,3
161,6,17,31,281,22,10,96,3
162,9,17,30,285,4,38,100,3
163,27,57,87,362,1,21,80,1
164,30,60,90,365,0,17295,97.33333333,3
165,29,59,89,321,1,128,80,1
166,28,55,85,86,17,27,75,2
167,0,0,0,128,3,744,93,2
168,0,7,28,303,7,85,97,3
169,0,0,0,0,4,300,95,2
170,8,19,33,247,18,0,96,3
171,0,0,6,281,3,51,93,3
172,0,0,0,129,11,632,86,2
173,6,20,41,312,7,104,92,3
174,2,7,25,279,156,14,93,2
175,7,37,67,342,29,131,87,1
176,3,6,20,34,3,33,87,2
177,30,60,90,365,0,17295,97.33333333,3
178,28,58,88,179,1,2,100,1
179,30,52,82,357,3,37,80,3
180,27,57,87,177,0,17295,86.66666667,3
181,0,0,6,7,3,57,80,3
182,15,42,42,287,3,12,100,1
183,8,8,8,8,18,78,90,1
184,8,12,19,68,8,8,95,2
185,0,0,0,275,17,98,96,3
186,4,16,31,57,34,3,95,3
187,30,60,90,365,0,17294,97.33333333,3
188,0,0,0,274,0,17295,98.66666667,1
189,0,7,37,312,0,17295,89.66666667,2
190,6,36,66,135,0,17298,98.33333333,3
191,7,37,67,68,0,17294,79.33333333,1
192,7,37,67,342,57,220,81,2
193,24,54,84,85,6,7,97,2
194,27,57,87,88,4,21,90,2
195,8,38,68,68,1,92,60,1
196,0,0,6,25,0,17294,89.66666667,2
197,29,59,89,364,0,17295,96.66666667,3
198,7,37,67,67,4,11,93,3
199,4,4,4,4,4,22,100,2
200,3,3,3,3,0,17295,93.33333333,3
201,0,0,0,188,6,491,93,3
202,14,31,49,49,4,5,90,3
203,15,38,68,343,1,13,100,3
204,0,6,31,190,2,272,90,1
205,15,42,72,72,3,3,80,2
206,29,59,89,364,0,17295,96.66666667,3
207,19,47,77,167,4,58,100,2
208,29,59,89,90,0,17294,96.66666667,2
209,16,41,62,282,25,3,88,2
210,0,0,0,156,22,22,90,3
211,0,0,29,304,13,367,87,3
212,7,7,31,229,0,17295,89,3
213,25,52,74,336,1,22,100,2
214,12,15,15,15,0,17294,91.66666667,3
215,7,19,31,61,8,5,100,2
216,0,0,0,0,5,994,88,2
217,0,26,56,331,7,450,94,2
218,14,43,70,223,112,11,88,2
219,11,40,70,345,44,6,96,1
220,5,12,42,132,1,75,100,3
221,0,0,0,0,17,442,88,2
222,11,27,45,318,28,39,94,1
223,23,49,79,169,16,1,98,1
224,0,0,0,0,8,250,87,2
225,29,59,89,89,0,17295,96.66666667,3
226,0,0,0,0,4,80,85,2
227,0,0,0,219,2,10,100,1
228,5,35,65,149,1,92,100,3
229,2,12,26,27,5,7,100,3
230,16,46,69,69,26,16,88,1
231,0,0,0,24,0,17295,98.66666667,3
232,0,0,0,132,21,37,90,2
233,0,0,0,27,33,14,84,3
234,23,53,83,358,10,15,98,3
235,0,0,0,0,0,17295,98.66666667,3
236,0,0,0,0,0,17295,98.66666667,3
237,0,26,49,139,13,5,98,2
238,1,1,4,4,16,15,67,3
239,0,0,10,10,5,260,96,1
240,1,10,27,27,75,20,92,2
241,2,2,2,2,8,13,98,2
242,0,0,0,113,4,551,100,2
243,11,28,42,177,18,13,100,3
244,15,45,71,161,3,15,93,2
245,0,0,0,271,0,17295,98.66666667,1
246,27,57,87,142,37,152,98,2
247,10,40,70,70,0,17298,95.66666667,2
248,17,41,71,216,0,17298,91,2
249,0,0,0,0,0,17295,98.66666667,3
250,2,13,43,311,14,8,95,3
251,10,39,69,344,5,8,100,3
252,0,0,0,128,31,644,94,2
253,5,18,39,276,34,12,98,3
254,28,58,88,89,2,11,100,2
255,11,41,71,162,0,17294,88,3
256,0,3,33,308,7,309,97,1
257,0,0,0,0,0,17294,98.66666667,2
258,0,0,0,0,1,498,100,1
259,10,14,22,297,4,14,95,3
260,30,60,90,91,0,17294,97.33333333,3
261,30,60,90,365,3,11,80,3
262,29,53,53,53,9,0,98,3
263,7,14,29,50,16,3,98,1
264,0,0,0,0,6,38,80,3
265,3,17,41,309,11,3,96,1
266,13,30,48,71,18,4,94,1
267,0,0,0,128,1,73,100,1
268,23,53,83,358,38,4,98,1
269,14,35,38,44,6,30,97,2
270,5,20,25,27,1,20,100,2
271,7,15,20,26,4,35,100,2
272,4,8,8,8,0,17295,90.33333333,3
273,0,0,0,15,1,77,100,3
274,0,0,0,131,0,17298,98.66666667,2
275,0,9,22,22,9,3,98,2
276,0,0,0,0,1,53,80,2
277,4,4,4,4,9,4,93,1
278,0,4,34,309,6,7,96,1
279,0,4,34,309,2,44,70,1
280,17,34,34,254,2,7,100,3
281,6,15,17,264,5,9,88,3
282,0,6,34,181,1,98,60,1
283,1,1,1,221,43,100,91,1
284,30,60,90,365,0,17294,97.33333333,3
285,7,28,58,333,40,190,92,1
286,14,44,74,348,11,8,80,1
287,12,40,70,335,2,5,100,1
288,13,43,73,348,3,16,93,1
289,0,0,0,0,8,23,97,2
290,11,34,64,339,3,52,80,1
291,30,60,90,365,0,17294,97.33333333,1
292,0,0,0,0,2,686,100,3
293,19,49,79,354,1,128,80,2
294,17,46,73,348,4,22,95,2
295,22,52,82,357,4,22,90,2
296,18,48,78,353,7,18,77,2
297,19,41,71,346,4,5,95,2
298,11,41,71,346,3,4,93,2
299,8,38,68,343,8,14,88,2
300,0,0,7,7,12,24,88,2
301,1,7,19,81,1,134,100,1
302,0,0,0,0,1,624,100,3
303,11,35,63,165,14,3,99,3
304,0,0,0,0,4,611,87,3
305,8,14,14,227,52,10,85,2
306,29,59,89,364,0,17298,96.66666667,2
307,29,59,89,364,0,17298,96.66666667,2
308,29,59,89,364,0,17298,96.66666667,2
309,29,59,89,364,0,17298,96.66666667,2
310,29,59,89,364,1,15,100,2
311,21,51,81,351,35,13,97,3
312,28,58,88,89,3,98,87,2
313,18,44,71,146,4,7,100,2
314,16,46,76,166,19,12,88,1
315,0,0,0,2,0,17298,98.66666667,3
316,23,53,83,83,2,22,100,3
317,29,59,89,179,2,100,100,2
318,11,21,51,326,1,590,100,2
319,0,0,0,0,0,17295,98.66666667,3
320,0,0,0,0,6,86,88,2
321,0,20,50,325,6,125,77,1
322,11,12,12,150,6,24,100,1
323,5,35,65,65,2,31,100,1
324,0,3,3,3,3,8,100,3
325,24,42,67,316,9,8,78,3
326,25,47,57,307,15,10,88,3
327,29,59,89,364,0,17295,96.66666667,1
328,27,57,87,362,0,17295,86.66666667,1
329,18,48,78,131,58,11,95,1
330,13,42,68,210,14,1,96,2
331,1,1,1,1,22,26,97,3
332,0,0,26,116,8,610,95,2
333,24,54,84,359,74,11,87,2
334,25,55,85,360,41,16,87,3
335,21,47,77,352,65,21,89,3
336,0,0,0,0,1,435,100,3
337,0,8,38,51,13,36,85,3
338,12,29,29,249,10,65,80,3
339,0,0,0,100,2,11,80,1
340,7,23,53,54,181,2,93,2
341,0,0,0,65,1,27,100,2
342,0,0,2,24,7,8,96,3
343,13,39,62,62,21,3,87,1
344,30,60,90,365,5,42,96,3
345,5,5,15,19,25,50,96,2
346,8,8,11,286,0,17298,92.66666667,3
347,0,0,0,0,4,569,95,2
348,0,0,0,0,0,17294,98.66666667,3
349,12,24,37,269,6,8,87,1
350,24,54,77,352,41,11,78,1
351,0,6,28,154,5,68,100,3
352,0,0,0,159,2,69,100,3
353,26,52,77,352,2,25,100,1
354,3,24,49,324,0,17294,93.33333333,1
355,0,4,34,35,0,17294,84.33333333,3
356,0,0,6,279,77,219,96,3
357,8,33,61,61,0,17298,90.66666667,2
358,26,56,86,361,2,8,100,3
359,6,36,66,338,6,8,96,3
360,10,40,70,345,3,12,100,3
361,28,58,88,116,14,8,95,3
362,10,40,70,152,8,1,97,1
363,0,7,37,312,1,39,100,3
364,5,31,32,260,4,11,85,2
365,4,4,4,4,73,3,88,3
366,0,0,0,0,32,250,97,2
367,29,59,89,364,0,17294,96.66666667,3
368,7,21,43,177,3,16,100,3
369,4,24,47,137,0,17298,92,3
370,3,8,8,8,6,1,100,2
371,6,27,54,145,59,22,92,1
372,13,28,54,139,58,9,95,1
373,0,0,0,0,1,292,100,2
374,0,20,26,279,21,25,88,3
375,29,59,89,89,1,13,100,3
376,9,27,47,283,26,4,97,1
377,15,31,51,313,18,0,88,1
378,15,23,36,36,25,7,89,2
379,0,5,35,36,1,16,80,3
380,21,50,80,355,83,5,96,2
381,1,1,1,220,4,2,100,3
382,0,0,3,12,1,36,98.33333333,3
383,30,60,87,362,27,12,92,3
384,30,60,90,365,2,1407,96,3
385,11,27,45,98,31,5,97,3
386,22,22,38,38,1,11,100,2
387,30,60,90,365,0,17295,97.33333333,3
388,0,0,0,40,28,24,94,1
389,29,59,89,89,8,16,91,2
390,0,0,0,0,1,344,98.66666667,1
391,10,33,63,63,16,3,93,3
392,15,35,65,65,14,2,91,3
393,28,58,88,88,1,11,100,3
394,1,12,42,43,1,220,80,3
395,0,7,13,51,11,44,100,2
396,10,40,69,69,1,15,95.66666667,2
397,21,45,75,259,12,13,84,3
398,14,39,62,337,80,3,85,3
399,5,5,5,138,48,23,86,3
400,18,46,71,345,71,5,89,3
401,8,36,56,331,90,2,88,3
402,0,0,0,13,0,17294,98.66666667,3
403,25,55,85,86,3,18,80,3
404,0,6,36,311,0,17294,86.66666667,3
405,0,0,0,0,43,106,97,1
406,0,0,0,0,0,17295,98.66666667,1
407,12,32,50,308,6,13,87,2
408,14,31,48,319,4,5,85,1
409,22,45,58,58,2,4,100,3
410,24,54,84,84,7,12,100,2
411,24,44,67,67,5,9,100,2
412,24,46,76,77,3,12,100,2
413,0,3,21,46,7,7,94,2
414,4,24,54,54,0,17295,93.33333333,3
415,0,0,0,0,0,17295,98.66666667,3
416,0,2,2,33,4,22,100,2
417,0,7,37,312,24,107,92,2
418,0,5,35,310,6,190,84,3
419,5,16,36,295,221,5,93,2
420,0,0,0,0,1,106,80,3
421,7,7,7,7,10,22,100,3
422,0,0,0,0,0,17295,98.66666667,3
423,0,24,54,54,1,54,60,3
424,0,0,0,0,12,173,97,2
425,0,0,0,275,7,26,80,3
426,0,0,0,0,0,17295,98.66666667,3
427,26,56,86,361,7,21,83,2
428,21,50,80,347,47,1,85,2
429,19,39,69,298,29,21,88,2
430,24,53,79,351,24,2,89,2
431,12,30,50,305,61,15,91,1
432,14,40,67,300,50,20,89,1
433,11,26,26,26,75,23,92,3
434,30,60,90,365,0,17295,97.33333333,3
435,11,34,52,169,12,7,100,2
436,0,0,0,0,3,26,90,3
437,10,14,19,19,5,4,96,2
438,12,19,29,119,2,72,90,3
439,30,60,90,365,26,561,90,2
440,10,23,47,316,6,17,87,1
441,7,7,9,10,0,17294,94.66666667,3
442,0,20,50,140,14,268,96,2
443,14,44,74,349,4,857,93,3
444,4,9,16,16,11,8,96,2
445,18,43,73,227,7,16,83,1
446,20,36,66,341,8,5,90,1
447,0,0,0,125,6,130,90,3
448,19,43,49,300,2,2,100,3
449,14,44,64,133,13,11,98,2
450,30,60,90,365,1,10,80,3
451,14,32,50,135,5,8,100,1
452,30,60,90,365,20,15,95,1
453,4,22,22,268,17,8,95,2
454,2,10,10,170,15,8,96,3
455,0,0,0,0,1,82,100,3
456,18,44,74,349,41,16,87,1
457,5,5,26,26,11,11,96,2
458,27,57,87,88,4,7,73,2
459,9,32,60,75,2,2,100,1
460,0,0,0,0,2,291,90,3
461,30,60,90,365,6,23,93,3
462,9,39,69,344,6,95,85,3
463,24,40,61,277,0,17298,88.33333333,3
464,12,33,45,284,12,96,90,3
465,0,0,0,0,0,17295,98.66666667,2
466,0,0,0,0,0,17295,98.66666667,3
467,30,59,86,361,2,26,90,3
468,5,17,22,240,24,6,92,2
469,0,0,10,158,1,128,80,3
470,29,59,89,364,4,10,100,3
471,13,13,19,294,9,16,93,1
472,28,54,84,359,1,12,100,2
473,29,59,89,364,4,198,100,1
474,9,30,56,77,3,11,93,1
475,21,43,73,94,1,79,80,1
476,12,14,37,305,18,21,99,2
477,20,37,52,53,6,21,100,3
478,18,41,61,149,13,12,95,2
479,11,19,39,305,5,2,100,1
480,27,55,85,360,28,11,94,1
481,24,54,77,346,72,11,88,1
482,16,46,76,166,1,93,90.33333333,3
483,27,57,87,346,45,8,92,2
484,12,42,72,347,0,17298,97,2
485,7,19,49,324,26,493,99,1
486,0,0,29,119,1,36,100,1
487,17,28,58,149,5,5,84,1
488,3,3,33,123,6,12,100,1
489,10,40,70,289,2,25,100,3
490,10,39,65,340,6,21,100,3
491,0,0,0,0,1,593,98.66666667,2
492,0,5,35,310,5,739,85,2
493,0,0,0,0,1,594,100,3
494,3,19,41,308,11,9,98,2
495,0,4,5,223,274,2,98,2
496,12,42,72,207,7,12,94,1
497,8,25,54,80,29,3,94,2
498,1,1,1,1,55,21,91,3
499,30,60,90,90,2,173,80,3
500,0,0,0,0,8,183,80,3
501,2,21,51,134,1,81,100,3
502,0,4,4,88,2,68,100,2
503,0,0,3,3,8,12,100,3
504,30,60,90,365,0,17295,97.33333333,1
505,30,60,90,365,1,928,97.33333333,1
506,30,60,90,365,3,200,67,1
507,30,60,90,365,0,17294,97.33333333,1
508,30,60,90,365,1,932,80,1
509,30,60,90,365,0,17294,97.33333333,1
510,28,57,87,362,6,293,60,1
511,0,0,0,0,1,93,100,1
512,30,60,90,365,3,201,90,3
513,30,60,90,365,2,125,80,3
514,0,0,0,0,7,649,100,1
515,15,33,51,290,18,2,100,3
516,27,57,87,87,7,8,89,3
517,20,41,71,341,61,22,93,1
518,1,31,61,151,0,17295,86,3
519,4,4,22,22,0,17295,95.33333333,3
520,29,38,49,50,10,2,98,3
521,4,24,54,142,12,2,98,2
522,0,0,0,0,4,621,90,1
523,12,27,37,291,132,15,96,1
524,16,42,64,332,81,16,95,2
525,23,53,83,358,0,17294,98,2
526,20,50,80,355,6,5,100,3
527,13,38,66,328,12,35,95,2
528,11,30,53,309,3,93,100,2
529,15,43,72,327,1,128,80,2
530,12,33,55,308,10,7,96,3
531,10,26,50,64,13,15,95,3
532,12,21,35,35,2,22,100,2
533,5,13,23,274,36,7,92,1
534,5,12,23,276,33,7,94,1
535,2,14,28,281,202,8,93,1
536,5,9,19,268,199,7,94,1
537,5,16,28,292,184,20,89,1
538,9,17,31,268,138,5,91,1
539,5,13,24,280,160,12,92,1
540,9,14,28,303,16,8,100,1
541,12,26,45,318,7,16,97,3
542,0,11,36,36,2,15,80,3
543,0,0,0,235,3,56,93,2
544,0,0,0,0,1,20,100,2
545,21,51,81,356,34,8,95,3
546,12,16,28,28,0,17295,86,2
547,16,31,55,56,6,7,90,3
548,5,18,27,50,2,21,90,2
549,0,0,0,0,2,56,80,3
550,0,0,0,0,1,72,100,3
551,22,43,73,348,53,3,95,1
552,19,49,79,169,13,8,91,2
553,9,9,9,9,0,17298,79.33333333,3
554,0,0,0,0,1,810,80,3
555,28,35,35,102,1,15,100,3
556,0,0,0,0,0,17298,98.66666667,3
557,0,0,0,205,85,72,88,2
558,14,35,41,316,1,8,100,3
559,28,57,87,362,4,21,75,3
560,26,56,83,173,0,17298,95.33333333,3
561,1,1,24,110,7,22,97,3
562,0,8,33,119,4,59,95,3
563,10,36,66,153,13,49,88,3
564,12,19,49,135,22,21,93,3
565,28,58,82,172,5,24,90,3
566,21,51,74,164,3,40,53,3
567,29,59,89,364,2,12,100,3
568,0,2,32,32,2,68,100,3
569,20,47,77,231,27,10,94,1
570,28,58,88,363,7,49,40,3
571,23,53,83,173,0,17295,98,3
572,27,57,87,362,1,2062,86.66666667,2
573,10,22,46,321,28,15,99,2
574,11,22,47,165,78,16,96,2
575,19,49,79,79,3,149,90,3
576,5,27,37,308,6,15,87,3
577,24,45,75,350,21,11,90,1
578,30,60,90,90,0,17295,97.33333333,1
579,30,60,90,90,0,17295,97.33333333,1
580,23,53,83,174,0,17294,98,1
581,0,0,0,0,0,17295,98.66666667,3
582,0,0,0,0,1,476,80,3
583,2,2,6,7,4,7,90,3
584,0,0,0,0,57,263,95,1
585,1,5,8,15,5,11,96,2
586,0,0,0,0,0,17295,98.66666667,3
587,0,0,0,127,12,270,95,3
588,0,0,0,127,10,225,94,3
589,13,32,62,177,4,8,100,2
590,18,24,54,54,11,4,92,1
591,0,25,55,55,0,17295,93.33333333,3
592,19,49,79,198,1,74,100,3
593,11,32,54,329,0,17295,92,1
594,16,44,74,349,0,17295,88.33333333,3
595,15,31,52,320,0,17294,92.33333333,1
596,11,20,47,313,0,17295,93.66666667,1
597,8,28,47,318,0,17294,90.66666667,1
598,18,21,21,254,8,1,100,3
599,20,47,75,75,2,3,100,2
600,22,47,65,331,1,3,100,1
601,21,44,65,335,3,14,93,1
602,19,39,55,309,1,8,100,1
603,28,54,76,343,0,17298,95.66666667,1
604,22,52,82,172,65,7,88,1
605,27,57,87,178,8,8,88,1
606,22,52,82,172,65,6,80,1
607,5,33,63,152,172,14,85,1
608,25,55,85,176,66,8,82,1
609,0,0,18,18,0,17295,95,2
610,6,14,22,22,9,5,90,2
611,0,0,0,219,3,1046,85,3
612,25,55,85,85,1,50,100,3
613,30,60,90,365,2,1,100,3
614,0,0,0,249,1,31,100,3
615,4,11,32,57,9,1,100,2
616,14,41,71,72,1,9,100,1
617,22,46,76,351,3,0,93,2
618,0,0,0,160,10,614,98,3
619,0,0,0,208,9,607,98,2
620,0,17,23,23,1,27,100,3
621,0,0,0,0,5,539,88,3
622,0,10,28,298,9,25,96,1
623,30,60,90,356,1,8,100,2
624,0,6,36,127,0,17294,86.66666667,3
625,11,27,44,134,19,1,93,3
626,26,51,81,356,2,10,80,3
627,1,1,1,190,2,21,90,3
628,20,20,20,209,0,17295,82.66666667,3
629,11,41,71,346,15,50,77,1
630,30,60,90,365,1,1407,97.33333333,3
631,24,54,84,359,1,16,100,3
632,16,33,33,33,3,15,100,1
633,15,31,31,31,0,17294,86,3
634,20,37,37,37,1,15,80,1
635,23,53,83,358,16,12,95,2
636,0,0,0,189,1,138,100,2
637,13,37,53,303,10,13,96,3
638,0,0,0,128,0,17295,98.66666667,3
639,21,42,57,317,11,15,86,3
640,29,59,89,364,7,5,76,3
641,26,56,86,177,4,11,90,3
642,30,60,90,181,4,22,87,3
643,28,58,88,179,3,1,80,3
644,23,52,65,150,3,9,100,3
645,11,13,13,13,0,17298,93.33333333,3
646,13,13,27,27,0,17298,94,1
647,21,45,75,350,2,4,100,1
648,25,55,85,360,3,9,93,3
649,0,0,0,152,18,260,94,2
650,0,0,0,128,35,269,88,2
651,0,0,0,0,0,17295,98.66666667,1
652,0,0,0,157,0,17295,98.66666667,1
653,26,56,86,358,4,1,95,3
654,8,18,36,115,5,7,100,1
655,26,56,86,361,7,8,94,1
656,0,7,37,145,0,17294,89.66666667,1
657,0,7,37,145,0,17294,89.66666667,1
658,0,8,38,145,0,17295,87.66666667,1
659,15,45,75,165,5,4,87,1
660,26,55,85,86,2,0,90,3
661,8,8,29,29,6,10,80,1
662,15,15,34,34,9,10,76,1
663,18,48,78,191,1,28,20,1
664,0,7,37,311,2,412,100,3
665,2,31,61,336,0,17294,82.33333333,1
666,0,0,7,221,9,260,87,3
667,16,36,66,341,3,7,100,2
668,0,0,1,5,19,30,98,2
669,0,7,37,312,35,52,89,3
670,0,2,19,150,0,17298,92,2
671,13,37,67,157,6,8,100,3
672,8,8,9,9,110,9,91,2
673,0,0,0,0,0,17294,98.66666667,3
674,0,0,0,0,2,122,100,3
675,0,0,0,0,1,51,100,3
676,0,0,0,3,0,17294,98.66666667,1
677,4,4,4,19,3,8,100,2
678,0,6,31,306,3,494,87,2
679,0,0,0,188,0,17294,98.66666667,3
680,0,3,28,90,0,17294,97.66666667,1
681,0,0,0,0,1,496,80,3
682,0,0,0,0,7,263,96,1
683,6,36,66,341,3,570,93,3
684,7,7,7,128,2,41,100,3
685,0,0,0,131,1,47,100,3
686,29,59,89,179,2,17,96.66666667,2
687,20,23,23,113,0,17294,89.66666667,1
688,8,8,16,69,3,2,100,1
689,0,0,0,0,5,29,92,2
690,0,4,19,174,17,148,95,2
691,29,59,89,179,0,17295,96.66666667,2
692,28,58,88,363,8,3,100,2
693,30,60,90,180,9,9,93,3
694,17,38,68,343,0,17294,93.66666667,3
695,29,59,89,89,0,17295,96.66666667,1
696,24,53,83,358,9,47,95,2
697,0,0,1,8,9,6,98,3
698,4,18,48,73,5,8,85,3
699,0,0,0,0,0,17295,98.66666667,3
700,0,2,12,251,120,19,93,1
701,2,2,18,109,3,12,100,3
702,16,40,70,96,8,9,98,2
703,6,36,66,341,56,602,96,2
704,27,57,81,200,65,7,96,1
705,28,58,78,161,3,63,100,3
706,10,19,28,260,0,17294,90.33333333,3
707,4,29,59,88,15,6,99,2
708,7,18,48,48,1,42,100,3
709,0,0,0,253,29,222,95,3
710,16,38,44,175,18,2,91,3
711,15,45,72,347,23,8,97,3
712,0,6,22,22,0,17295,94.66666667,3
713,10,18,38,291,2,11,100,3
714,0,0,2,82,8,30,100,2
715,20,38,65,65,0,17295,93.33333333,2
716,28,58,88,235,0,17295,96.33333333,1
717,8,28,40,86,2,35,100,1
718,0,0,0,0,1,402,100,1
719,0,0,2,67,2,40,100,3
720,10,30,60,151,13,6,97,2
721,0,7,37,41,2,15,90,3
722,2,2,2,6,0,17298,89.33333333,3
723,4,28,58,149,96,4,97,2
724,1,1,2,2,1,16,100,3
725,30,60,90,365,12,13,90,3
726,0,0,1,1,6,19,97,3
727,19,49,79,80,7,7,94,2
728,0,0,0,0,3,19,100,3
729,0,0,0,0,0,17295,98.66666667,3
730,2,2,17,18,3,22,100,3
731,30,60,90,91,4,11,93,3
732,30,60,90,365,0,17294,97.33333333,3
733,0,0,0,250,0,17295,98.66666667,3
734,0,0,0,6,2,8,90,3
