property_id,reviews_acc,reviews_cleanliness,reviews_checkin,reviews_communication,reviews_location,reviews_value,reviews_per_month,extra,Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable,Require Guest Profile Picture,Require Guest Phone Verification
17,10.0,9.0,10.0,10.0,9.0,10.0,6.32,"Host Is Superhost, Host Has Profile Pic, Is Location Exact, Instant Bookable",True,True,False,True,True,False,False
18,10.0,10.0,10.0,10.0,10.0,10.0,0.25,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
19,10.0,10.0,10.0,10.0,10.0,10.0,0.67,Host Has Profile Pic,False,True,False,False,False,False,False
20,9.0,10.0,10.0,10.0,9.0,9.0,1.37,Host Has Profile Pic,False,True,False,False,False,False,False
21,10.0,10.0,10.0,10.0,9.0,10.0,4.87,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified, Is Location Exact",True,True,True,True,False,False,False
22,9.0,8.0,10.0,9.0,8.0,9.0,1.99,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
23,10.0,10.0,10.0,10.0,9.0,9.0,0.71,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
25,8.0,8.0,9.0,9.0,8.0,9.0,1.9,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
26,10.0,10.0,10.0,10.0,10.0,10.0,0.35,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
27,10.0,10.0,10.0,10.0,10.0,10.0,0.21,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
28,10.0,10.0,10.0,9.0,10.0,10.0,1.91,Host Has Profile Pic,False,True,False,False,False,False,False
29,8.0,8.0,9.0,9.0,9.0,8.0,3.33,"Host Has Profile Pic, Instant Bookable, Require Guest Phone Verification",False,True,False,False,True,False,True
30,10.0,10.0,10.0,8.0,10.0,10.0,0.24,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
31,10.0,10.0,10.0,10.0,10.0,10.0,3.45,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
32,9.0,9.0,10.0,10.0,8.0,9.0,2.84,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
33,9.0,9.0,9.0,9.0,9.0,9.0,1.4,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
34,10.0,9.0,10.0,10.0,10.0,10.0,2.0,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
35,9.0,10.0,10.0,10.0,8.0,10.0,0.3,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
36,9.0,10.0,10.0,10.0,9.0,10.0,2.29,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
37,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
38,10.0,10.0,10.0,10.0,10.0,10.0,0.09,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
39,9.0,10.0,10.0,10.0,9.0,10.0,5.45,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
40,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
41,10.0,10.0,10.0,10.0,9.0,9.0,3.1,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
42,10.0,9.0,10.0,10.0,9.0,9.0,3.35,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
43,10.0,10.0,8.0,10.0,8.0,10.0,1.0,Host Has Profile Pic,False,True,False,False,False,False,False
44,10.0,10.0,10.0,10.0,9.0,9.0,0.91,Host Has Profile Pic,False,True,False,False,False,False,False
45,9.0,9.0,9.0,10.0,10.0,10.0,0.29,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
46,10.0,10.0,10.0,10.0,10.0,10.0,0.24,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
47,10.0,10.0,10.0,10.0,10.0,10.0,0.23,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
48,10.0,8.0,10.0,10.0,10.0,10.0,1.0,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
49,10.0,9.0,10.0,10.0,9.0,10.0,0.43,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
50,10.0,10.0,10.0,10.0,10.0,10.0,0.69,Host Has Profile Pic,False,True,False,False,False,False,False
51,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
52,10.0,10.0,10.0,10.0,9.0,10.0,1.77,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
53,10.0,9.0,10.0,9.0,10.0,9.0,3.42,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
54,9.0,8.0,10.0,10.0,10.0,10.0,0.51,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
55,10.0,10.0,8.0,9.0,10.0,10.0,0.48,Host Has Profile Pic,False,True,False,False,False,False,False
56,8.0,8.0,10.0,9.0,8.0,9.0,0.13,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
57,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
58,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
59,10.0,7.0,9.0,9.0,10.0,9.0,1.64,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
60,10.0,9.0,10.0,10.0,9.0,10.0,5.0,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
61,10.0,10.0,9.0,9.0,8.0,9.0,3.13,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
62,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
63,9.0,9.0,10.0,10.0,10.0,10.0,5.85,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
64,10.0,10.0,10.0,10.0,10.0,10.0,5.0,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
65,10.0,10.0,10.0,10.0,10.0,10.0,0.24,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Require Guest Profile Picture, Require Guest Phone Verification",False,True,True,True,False,True,True
66,8.0,8.0,9.0,9.0,9.0,8.0,0.46,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
67,8.0,4.0,10.0,10.0,8.0,6.0,0.05,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
68,10.0,10.0,10.0,10.0,10.0,10.0,0.17,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
69,10.0,9.0,10.0,10.0,9.0,9.0,2.07,Host Has Profile Pic,False,True,False,False,False,False,False
70,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
71,9.0,8.0,8.0,9.0,8.0,8.0,0.29,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
72,10.0,8.0,10.0,10.0,10.0,8.0,0.71,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
73,10.0,10.0,10.0,2.0,9.0,9.0,0.16,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
74,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
75,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
76,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
77,10.0,10.0,10.0,10.0,10.0,9.0,4.21,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
78,10.0,8.0,9.0,10.0,10.0,10.0,3.0,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
79,10.0,10.0,10.0,10.0,9.0,9.0,0.91,Host Has Profile Pic,False,True,False,False,False,False,False
80,9.0,10.0,10.0,10.0,9.0,10.0,9.79,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
81,9.0,8.0,9.0,9.0,9.0,9.0,1.69,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
82,10.0,10.0,10.0,10.0,10.0,10.0,2.36,"Host Is Superhost, Host Has Profile Pic, Is Location Exact",True,True,False,True,False,False,False
83,10.0,10.0,10.0,10.0,10.0,10.0,2.55,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
84,9.0,9.0,10.0,10.0,10.0,10.0,1.11,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
85,9.0,9.0,9.0,9.0,10.0,10.0,1.19,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
86,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
87,10.0,10.0,10.0,10.0,9.0,9.0,1.16,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
88,9.0,10.0,10.0,10.0,9.0,10.0,1.96,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
89,10.0,10.0,10.0,10.0,10.0,10.0,1.0,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
90,10.0,9.0,9.0,9.0,10.0,9.0,0.34,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
91,9.0,7.0,9.0,9.0,7.0,8.0,0.64,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
92,10.0,10.0,10.0,10.0,10.0,10.0,3.78,"Host Is Superhost, Host Has Profile Pic, Is Location Exact",True,True,False,True,False,False,False
93,10.0,10.0,10.0,10.0,10.0,10.0,1.62,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
94,10.0,9.0,10.0,10.0,10.0,9.0,1.13,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
95,10.0,10.0,10.0,10.0,9.0,9.0,1.69,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
96,10.0,9.0,10.0,9.0,10.0,9.0,5.27,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
97,10.0,10.0,10.0,10.0,10.0,10.0,0.53,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
98,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
99,10.0,10.0,10.0,10.0,9.0,10.0,0.57,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
100,10.0,8.0,10.0,10.0,9.0,9.0,2.42,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
101,9.0,9.0,10.0,10.0,9.0,9.0,2.03,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
102,9.0,9.0,10.0,10.0,10.0,9.0,3.56,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
103,10.0,10.0,10.0,10.0,10.0,10.0,3.89,"Host Is Superhost, Host Has Profile Pic, Is Location Exact",True,True,False,True,False,False,False
104,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
105,9.0,10.0,9.0,8.0,9.0,9.0,0.1,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
106,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
107,10.0,8.0,10.0,10.0,6.0,6.0,1.0,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
108,10.0,10.0,10.0,10.0,10.0,10.0,0.98,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
109,10.0,10.0,10.0,10.0,10.0,9.0,0.37,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
110,10.0,6.0,10.0,10.0,10.0,10.0,0.5,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
111,9.0,9.0,9.0,10.0,10.0,9.0,3.41,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
112,9.0,9.0,9.0,10.0,9.0,9.0,4.66,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
113,10.0,10.0,9.0,10.0,10.0,9.0,4.38,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
114,9.0,8.0,9.0,9.0,9.0,9.0,3.29,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
115,10.0,10.0,9.0,9.0,9.0,9.0,5.27,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
116,9.0,9.0,9.0,9.0,9.0,9.0,4.07,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
117,10.0,10.0,10.0,10.0,10.0,10.0,2.14,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
118,10.0,10.0,10.0,10.0,10.0,10.0,0.6,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
119,10.0,10.0,10.0,10.0,10.0,10.0,0.55,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
120,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
121,10.0,10.0,10.0,10.0,9.0,9.0,5.11,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
122,10.0,10.0,10.0,10.0,10.0,9.0,4.52,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",True,True,True,True,True,False,False
123,10.0,10.0,10.0,10.0,9.0,9.0,4.88,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified, Instant Bookable",True,True,True,False,True,False,False
124,10.0,10.0,10.0,10.0,10.0,9.0,1.22,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified",True,True,True,False,False,False,False
125,10.0,9.0,10.0,10.0,10.0,10.0,2.24,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
126,10.0,10.0,10.0,10.0,10.0,10.0,0.22,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
127,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
128,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
129,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
130,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
131,10.0,10.0,10.0,10.0,8.0,10.0,0.97,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
132,8.0,9.0,9.0,9.0,10.0,9.0,0.62,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
133,10.0,10.0,10.0,10.0,9.0,9.0,0.69,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
134,10.0,10.0,9.0,9.0,9.0,10.0,19.9,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
135,8.0,9.0,9.0,9.0,8.0,8.0,2.0,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
136,10.0,10.0,10.0,9.0,9.0,9.0,3.2,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
137,10.0,9.0,9.0,10.0,9.0,10.0,0.57,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
138,8.0,5.0,9.0,8.0,9.0,6.0,2.5,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
139,10.0,10.0,10.0,10.0,9.0,9.0,0.18,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
140,9.0,10.0,10.0,9.0,8.0,9.0,1.17,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
141,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
142,10.0,10.0,10.0,10.0,10.0,10.0,1.0,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
143,10.0,10.0,10.0,10.0,10.0,10.0,5.29,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified, Instant Bookable",True,True,True,False,True,False,False
144,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
145,10.0,8.0,10.0,10.0,9.0,9.0,0.59,Host Has Profile Pic,False,True,False,False,False,False,False
146,10.0,10.0,10.0,10.0,9.0,10.0,2.93,"Host Is Superhost, Host Has Profile Pic, Is Location Exact",True,True,False,True,False,False,False
147,10.0,9.0,10.0,9.0,8.0,9.0,0.5,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
148,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
149,10.0,9.0,10.0,10.0,10.0,10.0,8.16,Host Has Profile Pic,False,True,False,False,False,False,False
150,8.0,10.0,6.0,8.0,8.0,8.0,1.0,"Host Has Profile Pic, Host Identity Verified, Instant Bookable",False,True,True,False,True,False,False
151,8.0,6.0,10.0,8.0,8.0,7.0,0.17,Host Has Profile Pic,False,True,False,False,False,False,False
152,9.0,9.0,9.0,9.0,9.0,8.0,4.39,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
153,10.0,8.0,10.0,10.0,8.0,10.0,5.11,"Host Has Profile Pic, Host Identity Verified, Instant Bookable",False,True,True,False,True,False,False
154,10.0,10.0,10.0,10.0,10.0,9.0,4.32,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",True,True,True,True,True,False,False
155,10.0,9.0,10.0,10.0,10.0,10.0,6.0,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
156,9.0,8.0,10.0,10.0,9.0,8.0,0.36,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
157,9.0,7.0,10.0,9.0,9.0,9.0,0.83,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
158,10.0,10.0,10.0,10.0,9.0,10.0,2.71,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
159,9.0,9.0,9.0,8.0,10.0,8.0,1.64,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
160,9.0,10.0,10.0,9.0,10.0,10.0,1.95,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
161,10.0,10.0,8.0,8.0,10.0,10.0,5.77,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
162,10.0,10.0,10.0,10.0,9.0,10.0,4.02,"Host Is Superhost, Host Has Profile Pic, Is Location Exact",True,True,False,True,False,False,False
163,10.0,10.0,10.0,10.0,10.0,10.0,0.98,"Host Is Superhost, Host Has Profile Pic, Is Location Exact",True,True,False,True,False,False,False
164,8.0,8.0,6.0,8.0,8.0,6.0,0.45,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
165,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
166,10.0,8.0,10.0,10.0,10.0,8.0,0.23,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
167,9.0,6.0,9.0,9.0,10.0,8.0,3.17,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
168,9.0,10.0,10.0,10.0,9.0,9.0,0.09,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
169,10.0,9.0,10.0,10.0,9.0,10.0,0.34,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
170,10.0,9.0,10.0,10.0,10.0,10.0,0.3,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
171,10.0,9.0,9.0,9.0,10.0,9.0,5.05,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
172,9.0,9.0,9.0,9.0,10.0,9.0,0.67,"Host Has Profile Pic, Host Identity Verified, Instant Bookable",False,True,True,False,True,False,False
173,9.0,8.0,9.0,10.0,10.0,9.0,0.43,Host Has Profile Pic,False,True,False,False,False,False,False
174,9.0,9.0,10.0,10.0,9.0,9.0,1.25,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
175,10.0,9.0,10.0,10.0,10.0,9.0,4.25,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
176,9.0,9.0,9.0,9.0,9.0,9.0,0.73,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
177,10.0,10.0,10.0,10.0,10.0,10.0,0.59,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
178,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
179,10.0,10.0,10.0,10.0,10.0,10.0,1.0,Host Has Profile Pic,False,True,False,False,False,False,False
180,8.0,9.0,7.0,8.0,7.0,8.0,0.51,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
181,10.0,10.0,10.0,10.0,9.0,9.0,0.91,Is Location Exact,False,False,False,True,False,False,False
182,9.0,7.0,10.0,9.0,9.0,8.0,1.27,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
183,10.0,10.0,10.0,10.0,10.0,10.0,0.7,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
184,10.0,8.0,10.0,10.0,10.0,9.0,1.01,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
185,10.0,10.0,10.0,10.0,10.0,10.0,8.0,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
186,9.0,9.0,10.0,10.0,10.0,9.0,0.42,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",False,True,True,True,False,False,False
187,10.0,10.0,10.0,10.0,10.0,10.0,6.42,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
188,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
189,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
190,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
191,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Host Identity Verified, Instant Bookable",False,True,True,False,True,False,False
192,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
193,9.0,7.0,9.0,10.0,9.0,9.0,1.38,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
194,10.0,10.0,10.0,10.0,10.0,10.0,1.21,Host Has Profile Pic,False,True,False,False,False,False,False
195,9.0,9.0,10.0,10.0,10.0,10.0,0.76,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
196,10.0,10.0,10.0,10.0,9.0,9.0,0.32,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
197,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Instant Bookable",False,True,False,False,True,False,False
198,10.0,10.0,10.0,10.0,9.0,9.0,0.91,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
199,9.0,9.0,9.0,9.0,9.0,9.0,0.92,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
