property_id,property_type,property_room_type,property_max_guests,property_bathrooms,property_bedrooms,cluster_label,centroid_distance
89,0,1,2,2.0,1.0,0,3.81
90,0,1,2,1.0,1.0,0,0.82
91,0,0,4,1.0,2.0,0,2.11
92,0,0,4,1.0,1.0,0,1.2
93,0,0,2,1.0,0.0,0,1.09
94,0,0,4,1.0,2.0,0,1.16
95,0,0,2,1.0,0.0,0,1.21
96,0,1,2,1.0,1.0,0,0.82
97,0,1,2,1.0,1.0,0,4.3
98,0,1,1,1.0,1.0,0,1.71
99,16,2,1,1.0,1.0,0,3.41
100,16,0,2,1.0,0.0,0,3.35
101,0,1,2,1.0,1.0,0,3.74
102,0,0,2,1.0,1.0,0,1.98
103,14,1,2,1.0,1.0,0,0.82
104,0,0,4,1.0,2.0,0,1.48
105,0,0,2,1.0,1.0,0,2.17
106,1,1,2,0.5,1.0,0,2.69
107,0,1,2,1.0,1.0,0,2.2
108,0,0,2,1.0,1.0,0,1.26
109,0,0,4,1.0,2.0,0,1.93
110,0,0,4,1.0,1.0,1,1.31
111,0,0,4,2.5,2.0,0,2.01
112,0,0,4,1.5,1.0,0,0.74
113,0,0,2,1.0,0.0,0,1.14
114,0,0,4,1.0,2.0,0,2.56
115,0,0,4,1.0,1.0,0,0.83
116,0,0,6,1.5,2.0,0,1.44
117,0,0,4,2.5,2.0,0,1.82
118,0,0,5,1.5,3.0,1,0.7
119,0,0,2,1.0,1.0,0,4.44
120,0,1,2,1.0,1.0,0,2.97
121,0,0,5,1.5,2.0,0,0.45
122,0,0,2,1.0,1.0,0,1.76
123,0,0,5,1.0,2.0,0,2.08
124,0,0,2,1.0,1.0,0,2.0
125,0,0,2,1.0,1.0,1,0.5
126,12,1,3,1.0,1.0,0,2.19
127,1,1,3,1.5,1.0,0,2.11
128,1,1,4,1.0,1.0,0,2.13
129,1,1,4,1.5,1.0,0,1.98
130,12,1,2,1.0,1.0,0,2.07
131,14,0,5,1.0,3.0,1,2.87
132,0,0,4,1.0,1.0,1,1.85
133,0,0,4,1.0,1.0,1,2.02
134,0,1,1,1.0,1.0,0,2.32
135,0,2,2,1.0,1.0,0,2.6
136,0,0,1,1.0,0.0,0,1.72
137,0,2,1,1.0,1.0,0,0.65
138,0,0,4,1.0,1.0,1,1.0
139,14,0,4,1.0,3.0,1,8.03
140,14,1,2,1.0,1.0,0,6.42
141,12,1,2,1.0,0.0,0,1.92
142,0,0,2,1.0,1.0,0,1.94
143,0,0,4,1.5,0.0,0,1.56
144,0,1,2,1.0,1.0,0,5.29
145,0,0,2,1.0,1.0,1,1.78
146,0,0,2,1.5,1.0,1,0.88
147,0,1,2,1.0,1.0,0,2.64
148,0,0,3,1.0,1.0,0,2.13
149,0,1,3,1.0,1.0,0,2.14
150,0,0,3,1.0,1.0,0,1.32
151,14,0,2,1.0,1.0,0,1.68
152,0,0,3,1.0,0.0,0,1.4
153,0,2,1,2.0,1.0,0,3.98
154,0,0,6,1.0,2.0,1,0.85
155,0,1,2,1.0,1.0,0,2.25
156,14,1,1,2.0,1.0,0,1.92
157,14,1,3,2.0,1.0,0,1.85
158,0,0,2,1.5,1.0,0,1.15
159,0,0,2,1.0,1.0,0,1.38
160,0,0,2,1.0,0.0,0,1.32
161,0,0,4,1.0,2.0,0,1.21
162,14,1,4,1.0,1.0,0,7.05
163,14,1,2,1.0,1.0,0,6.96
164,0,0,4,1.0,1.0,0,1.6
165,0,0,4,1.0,1.0,0,1.63
166,0,0,4,1.0,1.0,0,1.69
167,0,1,2,1.0,1.0,0,0.88
168,0,1,2,1.0,1.0,0,2.61
169,0,0,4,1.0,2.0,0,2.06
170,0,1,2,1.0,1.0,0,2.7
171,0,0,4,1.0,1.0,0,1.74
172,0,0,4,1.0,1.0,0,1.76
173,0,0,2,1.0,1.0,1,1.66
174,0,0,3,1.0,1.0,0,1.36
175,0,0,4,1.5,2.0,0,1.69
176,0,0,4,1.0,2.0,1,0.5
177,0,0,2,1.0,1.0,1,1.44
178,14,1,1,1.0,1.0,0,2.97
179,0,0,2,1.0,1.0,0,4.8
180,20,1,1,1.0,1.0,0,4.46
181,0,0,2,1.0,1.0,0,5.95
182,0,1,1,2.5,1.0,0,2.0
183,0,0,4,2.0,2.0,0,0.88
184,0,0,4,1.0,2.0,0,1.76
185,0,0,4,2.0,2.0,0,1.99
186,0,1,2,1.0,1.0,0,2.05
187,12,1,3,1.0,1.0,0,1.94
188,1,1,2,4.0,4.0,0,0.39
189,0,0,6,2.5,3.0,0,2.93
190,0,0,6,1.0,2.0,0,5.92
191,0,0,2,1.0,2.0,1,2.25
192,14,1,2,1.0,1.0,0,4.05
193,0,0,4,1.0,1.0,0,1.84
194,0,0,2,1.0,1.0,0,0.97
195,0,0,2,1.0,1.0,0,2.11
196,14,1,2,1.0,1.0,0,4.13
197,14,0,6,2.0,3.0,0,1.38
198,0,0,4,1.5,2.0,0,3.39
199,0,0,5,1.0,2.0,0,3.04
200,0,1,2,1.5,1.0,0,3.15
201,0,1,2,1.5,1.0,0,2.97
202,15,0,2,1.5,1.0,0,1.61
203,0,0,3,1.0,2.0,1,1.19
204,0,1,2,1.0,1.0,0,3.42
205,0,0,4,2.0,2.0,0,2.91
206,0,1,2,1.0,1.0,0,4.98
207,0,2,2,1.0,1.0,0,1.86
208,0,0,2,1.0,1.0,0,4.74
209,15,0,2,1.0,1.0,0,2.67
210,0,1,2,1.5,1.0,0,3.86
211,8,0,2,1.0,0.0,0,3.25
212,0,0,2,1.0,1.0,0,3.26
213,0,0,4,1.0,3.0,0,4.97
214,15,0,4,1.0,1.0,0,4.09
215,0,0,2,1.0,0.0,0,0.44
216,0,0,2,1.0,0.0,1,0.82
217,0,0,2,1.0,1.0,0,1.44
218,0,1,1,1.0,1.0,0,1.37
219,0,0,2,1.0,0.0,1,1.68
220,0,0,2,1.0,1.0,0,1.52
221,0,0,1,1.0,1.0,0,1.48
222,0,0,6,1.0,2.0,0,1.39
223,0,0,2,1.0,1.0,1,0.46
224,0,0,2,1.0,0.0,1,1.2
225,0,0,2,1.0,1.0,0,0.54
226,0,1,2,1.0,1.0,0,2.75
227,14,1,2,1.0,1.0,0,5.71
228,0,0,2,1.0,1.0,0,0.84
229,0,0,4,1.0,1.0,0,3.72
230,0,0,4,1.0,1.0,0,2.99
231,8,1,2,1.0,1.0,0,2.25
232,15,0,7,1.0,3.0,0,2.18
233,0,0,2,1.0,1.0,1,2.48
234,16,0,3,1.0,0.0,1,1.41
235,0,1,2,1.0,1.0,0,0.97
236,0,1,1,1.0,1.0,0,1.2
237,0,1,1,4.0,1.0,0,1.72
238,0,0,2,1.0,1.0,1,0.7
239,0,1,2,1.0,1.0,0,1.48
240,14,0,6,2.0,5.0,0,1.9
241,0,0,2,1.0,1.0,0,2.05
242,0,0,2,2.0,1.0,0,2.73
243,14,1,3,1.0,1.0,1,1.57
244,20,0,4,1.0,2.0,1,1.11
245,0,0,3,1.0,1.0,1,1.39
246,0,0,4,1.0,2.0,0,1.9
247,15,1,2,1.0,1.0,0,1.8
248,0,0,2,1.0,0.0,1,4.87
249,14,1,2,1.5,1.0,1,3.96
250,0,0,2,1.0,0.0,0,1.46
251,0,0,1,1.0,1.0,0,0.74
252,0,0,2,1.0,1.0,0,1.54
253,0,0,4,1.0,1.0,0,1.46
254,0,0,4,1.0,0.0,0,1.73
255,0,0,2,1.0,1.0,0,2.51
256,0,0,16,8.0,8.0,0,2.6
257,0,0,2,1.0,1.0,1,1.23
258,8,0,2,1.0,2.0,0,2.99
259,0,0,4,2.0,3.0,0,2.23
260,0,0,3,1.0,1.0,0,2.17
261,14,1,2,1.0,1.0,0,4.65
262,20,1,2,1.0,1.0,0,5.29
263,14,1,1,1.0,1.0,0,5.25
264,0,0,2,1.0,1.0,0,1.54
265,0,0,4,1.0,1.0,0,4.05
266,0,0,2,1.0,1.0,1,0.7
267,8,0,4,1.0,2.0,1,1.76
268,0,0,4,1.0,2.0,0,5.8
269,0,0,2,1.0,1.0,0,4.17
270,1,0,5,1.0,2.0,0,1.29
271,1,1,2,1.0,1.0,0,1.41
272,1,1,3,1.0,1.0,0,1.34
273,0,1,2,1.0,2.0,0,1.3
274,0,0,4,1.0,1.0,0,1.32
275,0,0,4,2.0,3.0,1,1.83
276,0,1,2,1.0,1.0,0,2.35
277,0,0,2,1.0,1.0,0,0.51
278,0,0,4,1.0,1.0,0,2.33
279,0,1,2,1.0,1.0,0,2.24
280,12,1,2,1.0,1.0,0,2.3
281,0,0,3,1.0,1.0,0,2.82
282,0,1,2,1.0,1.0,0,2.67
283,0,0,2,1.0,1.0,0,1.17
284,0,0,2,1.0,0.0,0,0.62
285,0,1,2,1.0,1.0,0,4.5
286,0,0,3,1.0,2.0,0,2.33
287,0,0,3,1.0,0.0,0,5.14
288,0,1,2,1.0,1.0,1,1.15
289,0,0,2,1.0,1.0,1,1.21
290,0,1,2,1.0,1.0,0,2.26
291,0,0,2,1.0,1.0,0,2.01
292,0,1,2,1.0,1.0,0,2.07
293,0,0,2,1.0,1.0,0,2.02
294,12,1,2,1.0,1.0,0,1.37
295,12,1,4,1.0,0.0,0,1.25
296,0,0,4,1.0,0.0,0,1.28
297,0,0,4,1.0,0.0,0,1.26
298,12,1,2,1.0,0.0,0,1.36
299,12,1,2,1.0,0.0,0,1.28
300,14,1,2,1.0,0.0,0,1.29
301,0,0,3,1.0,1.0,0,0.66
302,0,0,5,1.0,2.0,0,1.86
303,20,1,2,2.0,1.0,0,0.92
304,0,0,4,1.0,1.0,0,3.88
305,0,1,2,1.0,1.0,0,1.78
306,14,0,5,2.0,2.0,0,0.77
307,14,1,2,1.5,1.0,1,1.96
308,0,0,4,1.0,2.0,1,1.71
309,0,0,2,1.0,1.0,1,1.49
310,0,1,2,1.0,1.0,1,1.21
311,0,0,2,1.0,0.0,1,1.07
312,0,0,2,1.0,1.0,1,1.65
313,14,0,4,1.0,3.0,0,5.31
314,0,1,2,1.0,1.0,0,0.96
315,0,1,4,1.0,1.0,0,1.36
316,0,0,1,1.0,0.0,1,1.66
317,0,0,3,1.0,2.0,0,1.6
318,14,1,2,1.0,1.0,0,3.58
319,14,1,2,1.0,1.0,1,1.58
320,0,1,2,1.0,1.0,0,1.41
321,0,0,2,1.0,1.0,0,1.11
322,0,0,4,1.0,1.0,0,2.01
323,0,0,4,1.0,2.0,0,2.28
324,0,1,2,1.0,1.0,1,1.15
325,15,0,4,1.0,2.0,0,2.11
326,0,1,2,0.0,1.0,0,3.97
327,0,0,4,1.0,2.0,0,1.82
328,0,0,4,1.0,1.0,0,1.68
329,0,0,4,1.0,1.0,0,1.72
330,0,0,2,1.0,1.0,1,2.13
331,0,0,2,1.0,1.0,0,1.34
332,0,0,2,1.0,1.0,0,2.9
333,0,0,2,1.0,1.0,1,1.17
334,21,2,5,1.0,1.0,0,4.68
335,21,1,5,1.0,1.0,0,4.64
336,21,1,4,1.0,1.0,0,4.7
337,0,0,2,1.0,1.0,0,0.57
338,14,1,2,1.0,1.0,0,4.36
339,0,0,2,1.0,1.0,0,4.19
340,0,0,5,1.0,2.0,0,3.82
341,0,0,2,1.0,1.0,0,1.28
342,0,0,4,1.0,1.0,0,4.46
343,0,0,2,1.0,1.0,0,1.95
344,0,0,2,1.0,0.0,0,7.1
345,1,1,2,1.0,1.0,1,4.22
346,0,0,4,1.0,1.0,0,1.83
347,0,0,2,1.0,1.0,1,1.16
348,0,0,3,1.0,1.0,0,2.49
349,0,1,2,1.0,1.0,0,2.44
350,0,0,2,1.0,0.0,0,3.01
351,0,0,2,1.0,1.0,1,0.82
352,0,0,2,1.0,1.0,1,3.61
353,0,0,4,1.0,2.0,0,2.65
354,0,0,4,1.0,0.0,0,2.69
355,0,0,6,2.0,2.0,0,2.78
356,0,0,2,1.0,0.0,0,2.93
357,14,1,2,1.0,1.0,0,1.99
358,0,1,2,1.0,1.0,1,2.25
359,0,0,2,1.0,1.0,0,1.57
360,0,0,4,1.0,2.0,0,2.2
361,0,0,6,1.0,3.0,0,4.55
362,0,0,2,1.0,1.0,0,2.69
363,0,0,2,1.0,1.0,0,3.08
364,0,0,2,1.0,1.0,0,1.31
365,0,0,4,1.0,2.0,0,3.93
366,0,0,4,1.0,1.0,0,1.58
367,0,0,5,1.0,2.0,1,0.64
368,0,0,3,1.0,2.0,0,4.36
369,0,1,6,1.0,2.0,1,1.29
370,0,0,4,1.0,2.0,1,1.32
371,0,0,2,1.0,1.0,0,1.1
372,0,0,2,1.0,1.0,0,5.86
373,0,0,2,1.0,1.0,0,5.9
374,20,0,4,1.0,3.0,1,3.31
375,14,1,2,1.0,1.0,1,2.01
376,0,2,1,0.5,1.0,0,2.18
377,15,1,3,1.0,1.0,0,2.25
378,0,0,6,1.0,1.0,0,3.89
379,14,1,1,1.0,1.0,0,2.92
380,0,0,2,1.0,1.0,0,1.68
381,14,1,2,1.5,1.0,0,2.08
382,0,0,4,1.0,1.0,0,1.12
383,0,0,2,1.0,1.0,1,1.72
384,14,1,2,1.0,1.0,1,0.95
385,0,1,2,1.0,1.0,1,1.12
386,12,1,2,1.0,1.0,0,5.52
387,0,0,2,1.0,0.0,0,1.56
388,0,0,3,1.0,1.0,0,2.69
389,0,0,2,1.0,1.0,0,2.09
390,0,1,2,1.5,1.0,1,3.69
391,0,0,2,1.0,1.0,0,2.19
392,0,0,2,1.0,1.0,0,1.29
393,0,0,6,1.0,2.0,0,1.34
394,17,0,2,1.0,1.0,0,5.5
395,0,1,1,1.0,1.0,0,1.66
396,0,0,4,1.0,2.0,1,3.46
397,14,1,2,1.5,1.0,1,1.57
398,0,1,2,1.0,1.0,0,3.94
399,14,1,3,1.5,1.0,1,1.36
400,14,1,2,1.0,1.0,1,1.39
401,14,1,4,1.5,1.0,1,1.54
402,14,1,2,1.5,1.0,1,1.33
403,14,1,2,1.0,1.0,0,0.21
404,0,1,2,1.0,1.0,0,1.48
405,0,1,2,1.0,,0,1.59
406,0,1,2,1.0,1.0,0,2.39
407,0,1,2,1.0,1.0,0,2.39
408,0,0,2,1.0,1.0,1,0.89
409,0,0,4,1.0,2.0,1,0.88
410,14,1,2,1.0,1.0,0,4.44
411,1,1,2,1.0,1.0,0,2.01
412,1,1,2,1.0,1.0,0,1.85
413,1,1,2,1.0,1.0,0,1.76
414,0,0,6,1.0,1.0,0,1.27
415,0,0,2,1.0,1.0,0,2.99
416,0,0,2,1.0,0.0,0,1.85
417,0,0,7,2.0,3.0,0,1.34
418,0,1,2,1.0,1.0,0,2.27
419,0,0,3,1.0,1.0,0,2.35
420,0,0,4,1.0,2.0,1,1.24
421,0,0,3,1.0,0.0,0,2.07
422,15,1,4,1.0,1.0,0,3.72
423,8,0,1,1.0,0.0,0,7.17
424,0,0,2,1.0,1.0,0,2.63
425,0,0,2,1.0,1.0,1,3.23
426,0,0,1,1.0,1.0,0,2.1
427,0,0,2,1.0,1.0,0,2.3
428,0,0,2,1.0,1.0,0,1.46
429,0,0,2,1.0,1.0,0,2.07
430,0,0,2,1.0,0.0,0,2.11
431,0,0,2,1.0,1.0,0,2.03
432,0,0,4,1.0,1.0,0,2.0
433,0,0,4,1.0,0.0,0,2.15
434,0,0,4,1.0,1.0,0,3.0
435,14,1,2,1.0,1.0,0,0.64
436,0,1,2,1.0,1.0,0,3.03
437,14,1,2,1.0,1.0,0,5.65
438,0,1,2,1.0,1.0,0,3.07
439,0,0,3,1.0,1.0,0,1.74
440,0,0,4,1.0,1.0,0,3.41
441,0,0,5,1.0,2.0,0,1.2
442,0,0,4,1.0,2.0,0,1.15
443,0,0,2,1.0,1.0,0,2.34
444,0,0,2,1.0,1.0,0,2.95
445,0,0,3,1.5,1.0,0,2.06
446,0,0,3,1.0,1.0,0,0.87
447,0,0,4,1.0,1.0,0,0.93
448,0,0,4,1.0,1.0,1,0.96
449,0,1,2,1.0,1.0,0,6.21
450,0,1,3,1.5,1.0,1,0.87
451,0,1,2,1.0,1.0,0,6.22
452,0,0,6,1.0,2.0,0,2.46
453,0,1,4,1.0,2.0,1,3.83
454,14,1,3,1.0,1.0,0,2.42
455,14,1,2,1.0,1.0,0,2.98
456,0,0,4,1.0,1.0,0,1.35
457,0,0,4,1.0,1.0,0,1.33
458,0,0,2,1.0,0.0,0,0.84
459,0,0,2,1.0,1.0,0,5.21
460,0,0,3,1.0,0.0,0,1.05
461,0,0,4,1.0,1.0,1,1.78
462,0,0,2,1.0,1.0,0,4.36
463,0,1,4,1.0,1.0,1,1.31
464,0,1,4,1.0,1.0,1,1.38
465,0,0,2,1.0,0.0,1,0.55
466,14,1,2,1.0,1.0,0,3.45
467,0,0,4,1.0,2.0,0,2.51
468,1,1,4,2.0,2.0,1,1.0
469,14,1,2,1.0,1.0,0,0.65
470,0,0,4,1.5,2.0,0,3.42
471,0,1,2,1.5,1.0,0,3.53
472,0,1,2,1.0,1.0,0,1.51
473,0,0,4,2.5,2.0,0,6.5
474,0,0,4,1.0,2.0,1,1.81
475,0,0,4,1.0,2.0,0,0.76
476,0,0,2,1.0,1.0,0,0.75
477,0,0,2,1.0,0.0,0,0.87
478,20,1,2,1.0,1.0,0,1.6
479,0,0,7,2.0,2.0,1,1.33
480,0,0,2,1.0,0.0,0,2.3
481,0,0,4,1.0,1.0,0,1.23
482,0,0,4,1.0,0.0,0,1.37
483,0,0,2,1.0,1.0,0,2.03
484,0,0,4,1.0,1.0,0,1.18
485,0,0,2,1.0,1.0,1,0.53
486,0,0,4,1.0,2.0,0,1.03
487,14,1,2,1.5,1.0,0,4.9
488,14,1,2,1.5,1.0,0,4.98
489,14,1,2,1.5,1.0,0,4.92
490,0,0,2,1.0,0.0,0,1.8
491,0,0,4,1.0,2.0,0,1.37
492,0,1,2,1.5,1.0,0,4.53
493,14,0,2,1.0,1.0,0,5.46
494,0,1,2,1.0,1.0,0,1.5
495,14,0,5,1.0,3.0,1,8.64
496,14,0,4,1.0,0.0,0,3.23
497,0,0,4,1.0,2.0,1,1.08
498,15,0,4,1.0,2.0,0,1.94
499,0,1,2,1.0,1.0,0,1.37
500,0,0,5,1.0,1.0,0,5.27
501,0,1,3,1.0,1.0,0,5.29
502,0,1,2,1.0,1.0,0,2.17
503,0,1,1,1.0,1.0,0,2.07
504,0,0,2,1.0,0.0,1,1.21
505,1,1,2,1.0,1.0,0,1.7
506,1,1,2,1.0,1.0,0,1.62
507,1,1,2,1.0,1.0,0,1.54
508,1,1,2,1.0,1.0,0,1.6
509,1,1,3,1.0,1.0,0,1.65
510,1,1,4,1.0,2.0,0,1.68
511,1,1,10,4.0,6.0,0,1.7
512,0,0,4,2.0,1.0,0,2.4
513,1,1,2,2.0,1.0,1,1.36
514,1,1,2,2.0,1.0,1,1.37
515,0,0,6,1.0,2.0,0,1.7
516,14,1,2,1.0,1.0,0,5.95
517,17,2,2,0.5,1.0,0,5.67
518,0,0,4,1.0,2.0,0,6.2
519,0,1,2,1.0,1.0,0,2.95
520,0,0,2,1.0,1.0,0,1.82
521,14,1,2,1.0,1.0,0,3.35
522,14,0,6,2.0,3.0,0,3.51
523,14,0,6,2.0,3.0,0,7.25
524,14,0,9,3.0,4.0,1,1.36
525,0,0,9,2.0,3.0,1,1.44
526,1,1,2,1.0,1.0,0,1.9
527,0,1,1,1.0,1.0,0,1.91
528,1,1,2,1.0,1.0,0,3.39
529,0,0,5,1.0,1.0,0,3.42
530,1,1,3,1.0,1.0,0,3.31
531,1,1,2,1.0,1.0,0,3.36
532,0,0,4,1.0,1.0,0,3.29
533,0,0,2,1.0,1.0,0,1.14
534,0,0,4,1.0,1.0,0,1.39
535,0,0,4,1.0,1.0,0,1.45
536,0,0,2,1.0,1.0,0,1.4
537,0,0,2,1.0,1.0,0,1.69
538,0,0,2,1.0,0.0,0,1.31
539,0,0,7,1.5,2.0,0,1.68
540,0,0,2,1.0,1.0,0,1.67
541,0,0,2,1.0,1.0,0,1.11
542,0,1,2,1.0,1.0,0,1.44
543,0,0,2,1.0,1.0,0,1.07
544,0,1,2,1.0,1.0,0,4.17
545,0,1,2,1.0,1.0,0,4.1
546,0,1,2,1.0,1.0,0,1.62
547,0,0,5,2.0,2.0,0,1.39
548,0,0,1,1.0,1.0,0,1.47
549,0,0,2,1.0,1.0,0,2.48
550,14,1,1,2.5,1.0,0,1.77
551,14,1,2,2.5,1.0,0,1.86
552,0,0,2,1.0,0.0,0,5.08
553,0,0,4,1.0,1.0,0,2.12
554,0,1,2,1.0,1.0,1,0.19
555,0,0,2,1.0,1.0,1,1.14
556,0,0,2,1.0,1.0,1,1.58
557,0,0,2,1.0,1.0,1,4.19
558,0,0,4,1.0,1.0,1,2.79
559,0,0,1,1.0,0.0,0,2.23
560,0,1,4,1.0,1.0,0,1.92
561,0,0,5,1.0,2.0,1,3.04
562,0,0,2,1.0,1.0,0,1.03
563,0,0,3,1.0,1.0,0,1.0
564,0,0,2,1.0,1.0,0,1.07
565,0,0,2,1.0,1.0,0,1.03
566,0,0,4,1.0,2.0,1,2.91
567,0,0,4,1.0,2.0,1,2.16
568,0,1,2,1.0,1.0,0,1.88
569,0,1,1,1.0,1.0,0,0.38
570,0,1,2,1.0,1.0,0,0.34
571,16,0,3,1.0,1.0,0,1.6
572,0,1,1,1.0,1.0,0,2.63
573,14,1,2,1.0,1.0,1,3.59
574,0,0,4,1.0,2.0,0,1.14
575,0,0,4,1.0,2.0,0,1.21
576,0,1,3,1.0,1.0,0,1.32
577,0,0,4,1.0,2.0,0,0.34
578,0,0,3,1.0,1.0,0,5.45
579,0,1,10,1.0,4.0,0,1.4
580,0,1,2,1.0,1.0,0,1.55
581,12,1,11,1.0,4.0,0,1.42
582,0,0,4,1.0,2.0,0,2.21
583,0,0,2,1.0,1.0,0,3.14
584,0,0,2,1.0,1.0,0,0.39
585,0,0,2,1.0,1.0,0,1.53
586,0,0,3,1.0,1.0,0,1.49
587,0,1,2,1.0,1.0,0,0.57
588,0,0,2,1.0,2.0,0,2.39
589,0,1,2,1.5,1.0,0,2.27
590,14,0,8,2.5,5.0,0,5.13
591,20,0,2,1.0,1.0,1,1.32
592,1,1,2,1.0,0.0,0,2.82
593,14,1,1,1.0,1.0,0,1.91
594,0,0,4,1.0,1.0,0,1.69
595,0,0,2,1.0,0.0,0,1.42
596,0,0,4,1.0,1.0,0,1.73
597,0,0,4,1.0,1.0,0,1.68
598,0,0,4,1.0,1.0,0,1.64
600,0,0,2,1.0,1.0,0,2.36
601,0,0,2,1.0,1.0,0,2.26
602,15,0,3,1.0,1.0,1,1.48
603,15,0,3,1.0,1.0,1,1.43
604,15,0,3,1.5,1.0,1,1.48
605,15,0,3,1.5,1.0,1,1.57
606,14,0,2,1.0,1.0,0,0.36
607,0,1,2,1.0,1.0,0,0.34
608,0,0,2,1.0,1.0,0,0.41
609,0,0,2,1.0,1.0,0,0.41
610,0,0,2,1.0,1.0,0,0.42
611,0,0,2,1.0,0.0,0,4.72
612,15,0,2,1.0,1.0,0,1.1
613,0,0,2,1.0,1.0,0,3.9
614,14,1,2,1.0,1.0,0,0.75
615,0,0,4,1.0,1.0,0,0.77
616,0,0,6,2.0,3.0,0,6.2
617,0,0,2,1.5,1.0,0,2.74
618,0,0,2,1.5,1.0,0,1.8
619,0,0,6,1.0,2.0,0,6.73
620,14,1,2,1.0,1.0,1,0.41
621,14,1,2,1.0,1.0,1,0.46
622,0,0,2,1.0,1.0,1,1.58
623,0,0,6,1.0,2.0,0,2.12
624,14,0,6,1.5,2.0,1,1.11
625,21,1,2,1.0,0.0,0,5.78
626,0,0,4,1.0,2.0,0,6.22
627,0,0,2,1.0,1.0,1,1.17
628,0,0,4,1.0,2.0,0,5.62
629,0,0,3,1.0,1.0,0,4.65
630,0,0,2,1.0,0.0,0,4.72
631,0,0,2,1.0,0.0,0,2.16
632,0,0,4,2.0,2.0,0,1.22
633,0,0,3,1.0,1.0,1,2.26
