,property_id,host_about,host_response_time,host_response_rate,host_nr_listings,host_nr_listings_total,host_verified,booking_price_covers,booking_min_nights,booking_max_nights,responsetime_code
58,60,"I love travelling, cooking, singing, playing the piano, painting, sporting  I can't live without laughing, colors, the sun, music, dancing, food, friendly and funny people.",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",2,2,1125,4.0
59,61,"Devise: ""OUR HOME IS WHERE YOU TREAT YOUR FRENDS LIKE FAMILY END YOUR FAMILY LIKE FRENDS"".",within a day,50-89%,1.0,1.0,"email, phone, reviews",1,1,7,2.0
60,62,"Native from Brussels. In a long-lasting relationship with my partner, happy father of 2.",unknown,unknown,1.0,1.0,"email, phone, reviews",4,2,20,1.0
61,63,,within an hour,100%,2.0,2.0,"email, phone, facebook, reviews",2,1,6,4.0
62,64,,within an hour,100%,2.0,2.0,"email, phone, facebook, reviews",1,1,6,4.0
63,65,"Hello potential guest!   My partner and I are  free-spirited people who love to travel and learn about cultures. We love to cook, read and create things so you'll always find spices, stationary and books that you can use during your stay.   If you decide to stay in our space, welcome home. Although we will off traveling to new lands, I hope you can enjoy our home as much as we do.  It's a bit unconventional but then again, so are we. If you are looking for a space in a hip part of town, with a diverse demographic, then this is the place for you.   I first started this Airbnb account years back when I was living in Canada. I then Airbnb'd my space when I was living in Bangkok, Thailand. I've met so many wonderful people and had so many great experiences. Now, residing in Europe, the journey continues.     Enjoy!   Just in case you're wondering here's a bit of info about us:  -I'm Canadian. "" Et oui, je parle Français! "" Andreas is Swedish; ""Hej hej!""  What we love most about our flat: - The big, bright kitchen! -Our two floor set up  What we love most about our neighborhood: -The two parks that are less than 10 minutes away -All the great bars and hang outs in close vicinity",within a day,100%,3.0,3.0,"email, phone, facebook, reviews, jumio",2,15,90,2.0
64,66,"Jeune couple, parents de 2 petites filles. nous aimons voyager, recevoir des amis,... au plaisir de vous rencontrer!",within a day,100%,2.0,2.0,"email, phone, reviews",1,5,1125,2.0
65,67,"French and Lebanese. 26. Travelling, making new encounters and life-changing friendships  with an all-consuming passion for the Middle East",unknown,unknown,1.0,1.0,"email, phone, reviews",1,2,30,1.0
66,68,,within a day,100%,2.0,2.0,"email, phone, facebook, reviews",1,1,1125,2.0
67,69,,within a day,100%,2.0,2.0,"email, phone, facebook, reviews",1,1,1125,2.0
68,70,"Bonjour,  j'aime voyager et recherche des logements sympa pour mes vacances :)",a few days or more,0-49%,1.0,1.0,"email, phone, reviews, jumio",1,2,1125,0.0
69,71,I work as a choreographer living in Brussels. I often travel out the city because of my work. The appartment is often available for periods of 1 or 2 weeks.,within a day,50-89%,1.0,1.0,"email, phone, reviews",2,3,30,2.0
70,72,,within an hour,50-89%,5.0,5.0,"email, phone, reviews, work_email",1,1,100,4.0
71,73,,within an hour,50-89%,5.0,5.0,"email, phone, reviews, work_email",1,1,30,4.0
72,74,,within an hour,50-89%,5.0,5.0,"email, phone, reviews, work_email",1,1,31,4.0
73,75,,within an hour,50-89%,5.0,5.0,"email, phone, reviews, work_email",1,1,31,4.0
74,76,,within an hour,50-89%,5.0,5.0,"email, phone, reviews, work_email",1,1,180,4.0
75,77,"Bonjour,  Je suis une jeune étudiante en droit. Je suis en couple, et je peux dormir chez mon compagnon, c'est pourquoi je peux mettre mon appartement à disposition. Je suis exigeante sur l'ordre et la propreté, c'est pourquoi mon appartement est toujours impeccable. J'aime lire, voyager et découvrir de nouveaux restaurants. Ma devise... CARPE DIEM",within an hour,100%,1.0,1.0,"email, phone, reviews",4,1,90,4.0
76,78,,within an hour,100%,1.0,1.0,"email, phone, reviews",1,5,15,4.0
77,79,,unknown,unknown,1.0,1.0,"email, phone",1,1,1125,1.0
78,80,,within an hour,100%,1.0,1.0,"email, phone, reviews",1,1,1125,4.0
79,81,"Swiss, playing music",within a few hours,100%,1.0,1.0,"email, phone, reviews",2,2,31,3.0
80,82,,within a few hours,100%,1.0,1.0,"email, phone, reviews",1,2,1125,3.0
81,83,,within an hour,100%,1.0,1.0,"email, phone, reviews",1,1,10,4.0
82,84,,a few days or more,0-49%,2.0,2.0,"phone, google, reviews, jumio, government_id",1,1,1125,0.0
83,85,,a few days or more,0-49%,2.0,2.0,"phone, google, reviews, jumio, government_id",1,1,1125,0.0
84,86,I'm from Brussels (Belgium).,within an hour,100%,2.0,2.0,"email, phone, facebook, reviews, jumio, offline_government_id, selfie, government_id, identity_manual",2,2,1125,4.0
85,87,,within an hour,100%,2.0,2.0,"email, phone, reviews, jumio, work_email",1,2,1125,4.0
86,88,,within an hour,100%,2.0,2.0,"email, phone, reviews, jumio, work_email",1,2,1125,4.0
87,89,"Mujer belgo-argentina, de 63 años, profesora y sociable",within an hour,100%,1.0,1.0,"email, phone, reviews",1,3,7,4.0
88,90,"I am Leen De Graeve. I am a Brussels based artist/writer/performer. I studied Linguistics in Antwerp, I got my master degree, and after I decided to get a Bachelor degree in Drama Directing and Writing. I travelled a lot in the Arab world, I did a project in South Africa and I've been to almost all European countries.",unknown,unknown,1.0,1.0,"email, phone, reviews",1,1,1125,1.0
89,91,"Hello! I'm Benjamin, a project engineer working in the industrial field. If you take good care of my apartment then I will be very happy to let you stay in it for a few days, a few weeks or even a few months!   :-)",within a day,50-89%,2.0,2.0,"email, phone, facebook, reviews, jumio, work_email",4,7,1125,2.0
90,92,Welcome to Brussels. Visit the historical city and its events right from in the center. We will welcome you here for you stay with explanation and the best hospitality. See you soon in Brussels!! Wim,within an hour,100%,1.0,1.0,"email, phone, reviews",2,2,365,4.0
91,93,,within an hour,100%,1.0,1.0,"email, phone, reviews, work_email",1,2,1125,4.0
92,94,"Je suis espagnole et j étais venue à Bruxelles  après mes études pour faire un stage de 6mois...bientôt  ca fera 10ans que je suis là. J adore cette ville: son ambiance, ses gens, ses bières...  Mais j adore aussi la nature et quand je peux,je profite pour m évader.  J ai déjà utilisé airbnb pour loger. Maintenant je passe aussi de l autre côté, et j espère que je serai à la hauteur.",within a day,50-89%,1.0,1.0,"email, phone, reviews, jumio",2,1,1125,2.0
93,95,,within a few hours,50-89%,1.0,1.0,"email, phone, reviews",1,2,1125,3.0
94,96,,within a few hours,50-89%,1.0,1.0,"email, phone, reviews",1,1,3,3.0
95,97,,within a few hours,100%,1.0,1.0,"email, phone, facebook, linkedin, reviews",1,2,90,3.0
96,98,,unknown,unknown,1.0,1.0,"email, phone, reviews",1,4,1125,1.0
97,99,"My name is Jia, I am from Sichuan in China, but now living in Brussels, Belgium.  I enjoy sharing my culture with others and would be happy to spend time with the guest over a cup of Chinese tea whilst helping them plan and make the most of their stay in Brussels.  I love photography and travelling and I am currently studying master in Brussels.  My personality is very happy and cheerful, helpful and quiet when necessary.",within a day,100%,2.0,2.0,"email, phone, reviews",1,1,1125,2.0
98,100,"My name is Jia, I am from Sichuan in China, but now living in Brussels, Belgium.  I enjoy sharing my culture with others and would be happy to spend time with the guest over a cup of Chinese tea whilst helping them plan and make the most of their stay in Brussels.  I love photography and travelling and I am currently studying master in Brussels.  My personality is very happy and cheerful, helpful and quiet when necessary.",within a day,100%,2.0,2.0,"email, phone, reviews",1,1,1125,2.0
99,101,"Bienvenu dans le chaleureux appartement située dans un calme quartier d'Uccle. Nous espérons vous offrir un séjour agréable, nous vous invitons à lire avec attention le règlement d'odre intérieur.   -Maintenir le bon état de tout matériel, des frais supplémentaires peuvent être engagés en cas de non respect ou destruction de celui-ci!  -La propreté du logement est à votre charge  -Veuillez jeter les déchets dans les poubelles  -Veuillez éteindre le chauffage, et les lumières et fermer les fenêtres quand le logement est inoccupé -Les fêtes sont interdites  -Respecter le voisinage  -Faire la vaisselle avant le depart  -Les serviettes ne sont pas inclus dans les produits de base  Transport   Vous vous trouvez à quelques pas de l'arrêt de tram 4 (Bruxelles-centre et gare de midi) et 92 (Avenue Louise) et à 10 minutes du tram 7 pour une petite visite vers l'Atomium.   Nous vous souhaitons un agréable séjour et surtout sentez vous comme chez vous!",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, government_id",1,1,1125,4.0
100,102,,within an hour,100%,1.0,1.0,"email, phone, google, reviews, jumio, government_id",1,3,5,4.0
101,103,We are delighted at the idea of having nice guests in our cosy house in the heart of Brussels,within a few hours,100%,1.0,1.0,"email, phone, reviews, work_email",1,2,1125,3.0
102,104,,within a day,0-49%,2.0,2.0,"email, phone, reviews",1,7,365,2.0
103,105,"ik hou van onderweg zijn en mensen ontmoeten en van boeken.  i like to be on the road, to meet people and books.",a few days or more,0-49%,1.0,1.0,"email, phone, reviews, jumio",1,2,1125,0.0
104,106,,unknown,unknown,1.0,1.0,"phone, facebook",1,14,1125,1.0
105,107,Adaptable. Communicative. Open. Tolerant. Efficient. Curious. Vivid.,within an hour,100%,2.0,2.0,"email, phone, reviews, jumio",1,2,7,4.0
106,108,Adaptable. Communicative. Open. Tolerant. Efficient. Curious. Vivid.,within an hour,100%,2.0,2.0,"email, phone, reviews, jumio",1,2,10,4.0
107,109,,within a day,100%,1.0,1.0,"phone, reviews, jumio, government_id",2,1,1125,2.0
108,110,,within a day,100%,1.0,1.0,"email, phone, linkedin, reviews, jumio, government_id",1,1,1125,2.0
109,111,"Amateur de healthy food, voyages lointains et voitures",within an hour,100%,7.0,7.0,"email, phone, reviews",2,2,1125,4.0
110,112,"Amateur de healthy food, voyages lointains et voitures",within an hour,100%,7.0,7.0,"email, phone, reviews",2,2,1125,4.0
111,113,"Amateur de healthy food, voyages lointains et voitures",within an hour,100%,7.0,7.0,"email, phone, reviews",1,4,1125,4.0
112,114,"Amateur de healthy food, voyages lointains et voitures",within an hour,100%,7.0,7.0,"email, phone, reviews",2,2,1125,4.0
113,115,"Amateur de healthy food, voyages lointains et voitures",within an hour,100%,7.0,7.0,"email, phone, reviews",2,2,1125,4.0
114,116,"Amateur de healthy food, voyages lointains et voitures",within an hour,100%,7.0,7.0,"email, phone, reviews",4,2,1125,4.0
115,117,"Amateur de healthy food, voyages lointains et voitures",within an hour,100%,7.0,7.0,"email, phone, reviews",2,3,1125,4.0
116,118,"Hi there! We're a 30 something couple who love to live in Antwerp.  Discovering the latest and greatest places to eat & drink, traveling the globe and enjoying this great planet is what keeps us busy :-)",within an hour,100%,1.0,1.0,"email, phone, facebook, google, reviews, jumio, offline_government_id, government_id",2,2,1125,4.0
117,119,,within a day,50-89%,1.0,1.0,"email, phone, reviews",1,2,1125,2.0
118,120,Happiness never decreases from being shared.,within a day,100%,1.0,1.0,"email, phone, facebook, reviews, jumio",1,2,1125,2.0
119,121,"I am an easy going and cheerful guy. I like cooking (especially cakes and traditional cuisine) and exploring new places. I have shop and I really like interacting with people. As I host I will do my best to provide you the best experience possible, giving you hints about local places to go.  Je suis quelqu'un de sociable et joyeux. J'aime cuisiner (spécialement les gâteaux et la cuisine traditionnelle) et explorer de nouveaux endroits. J'ai une boutique et j'aime interagir avec les gens. Comme hôte, je ferai de mon mieux pour vous offrir un séjour agréable, vous donnant des bons plans resto/café et endroits à visiter  Soy un tipo tranquilo y alegre. Me gusta cocinar (especialmente pasteles y cocina tradicional) y explorar nuevos lugares. Tengo una tienda y realmente me gusta interactuar con la gente. Como anfitrión haré todo lo posible para proporcionarle la mejor experiencia posible, dándole pistas sobre lugares locales para ir. Sono   Can write me in English, French, Spanish and Italian",within an hour,100%,1.0,1.0,"email, phone, google, reviews, jumio, government_id",2,1,1125,4.0
120,122,"I'm a young and dynamic woman, always up to see new things and meet new people. I've always travelled, discovered new places, visited all kind of museums and architectural places. Every few days I had I went to see friends all over the world.  Currently I work in publicity at strategy and planning of international advertisers, but want to share my experiences and open my home for people who would like to visit the city I love. Originally I'm from Antwerp but live in Brussels since 15 years. So can give you all the tips about Brussels but if you feel like a trip to Antwerp, can give you all inside tips too. Looking forward in meeting you!",within an hour,90-99%,3.0,3.0,"email, phone, reviews, jumio",1,2,62,4.0
121,123,"I'm a young and dynamic woman, always up to see new things and meet new people. I've always travelled, discovered new places, visited all kind of museums and architectural places. Every few days I had I went to see friends all over the world.  Currently I work in publicity at strategy and planning of international advertisers, but want to share my experiences and open my home for people who would like to visit the city I love. Originally I'm from Antwerp but live in Brussels since 15 years. So can give you all the tips about Brussels but if you feel like a trip to Antwerp, can give you all inside tips too. Looking forward in meeting you!",within an hour,90-99%,3.0,3.0,"email, phone, reviews, jumio",1,2,31,4.0
122,124,"I'm a young and dynamic woman, always up to see new things and meet new people. I've always travelled, discovered new places, visited all kind of museums and architectural places. Every few days I had I went to see friends all over the world.  Currently I work in publicity at strategy and planning of international advertisers, but want to share my experiences and open my home for people who would like to visit the city I love. Originally I'm from Antwerp but live in Brussels since 15 years. So can give you all the tips about Brussels but if you feel like a trip to Antwerp, can give you all inside tips too. Looking forward in meeting you!",within an hour,90-99%,3.0,3.0,"email, phone, reviews, jumio",1,2,1125,4.0
123,125,"Ik ben onderwijsopbouwwerker in Antwerpen en heb het voorrecht via dit werk met mensen van diverse origine kennis te maken en samen te werken. Via andere kanalen ontmoet ik mensen met diverse beperkingen, eveneens een verrijking voor mezelf. Ontmoeting met gasten beschouw ik eveneens als een voorrecht én verrijking. Wees welkom!",within a day,50-89%,1.0,1.0,"email, phone, reviews",1,1,1125,2.0
124,126,,within an hour,100%,5.0,5.0,"email, phone, google, reviews, jumio, government_id",2,2,1125,4.0
125,127,,within an hour,100%,5.0,5.0,"email, phone, google, reviews, jumio, government_id",1,2,30,4.0
126,128,,within an hour,100%,5.0,5.0,"email, phone, google, reviews, jumio, government_id",2,2,1125,4.0
127,129,,within an hour,100%,5.0,5.0,"email, phone, google, reviews, jumio, government_id",2,2,1125,4.0
128,130,,within an hour,100%,5.0,5.0,"email, phone, google, reviews, jumio, government_id",1,2,1125,4.0
129,131,,within an hour,100%,1.0,1.0,"email, phone, reviews",1,2,1125,4.0
130,132,,within a few hours,100%,2.0,2.0,"email, phone, reviews, work_email",2,1,1125,3.0
131,133,,within a few hours,100%,2.0,2.0,"email, phone, reviews, work_email",2,1,1125,3.0
132,134,,within an hour,100%,2.0,2.0,"email, phone, facebook, reviews",1,1,130,4.0
133,135,,within an hour,100%,2.0,2.0,"email, phone, facebook, reviews",1,1,1125,4.0
134,136,,within an hour,100%,1.0,1.0,"email, phone, facebook, reviews",1,2,120,4.0
135,137,"21 ans, étudiante",within an hour,50-89%,1.0,1.0,"email, phone, reviews",1,1,5,4.0
136,138,"Young starter who is still trying to survive and discovering the world, with Amsterdam as my place to return to :)  Fell in love with the city, decided to stay for a while",within an hour,100%,1.0,1.0,"email, phone, reviews",2,2,1125,4.0
137,139,"Ik ga graag mijn eigen weg. Ik zoek zo vaak mogelijk een origineel pad. Coelho zou me wel mogen gidsen☺ Als ik op reis ga, zoek ik verborgen pareltjes. Ik trek graag van plek naar plek om van zoveel mogelijk te kunnen proeven. Aziatisch eten maakt me altijd een beetje gelukkig. Airbnb vanaf nu hopelijk ook ☺  I like to go my own way. As often as possible I look for an original path. Coelho could be my guide. :-)  When I travel, I look for hidden treasures. I like to travel from spot to spot, in order to experience as much as possible. Asian food always makes me happy. Hopefully air bnb will do too.:-)",within a day,100%,1.0,1.0,"email, phone",2,3,1125,2.0
138,140,,within an hour,100%,1.0,1.0,"phone, reviews",1,1,7,4.0
139,141,Interior Designer,within an hour,100%,2.0,2.0,"email, phone, reviews, jumio",1,1,1125,4.0
140,142,Interior Designer,within an hour,100%,2.0,2.0,"email, phone, reviews, jumio",1,2,1125,4.0
141,143,"I like to travel :) Anywhere anytime. Every time with friends or family. So, this platform is the best for me. I also like diving in the local culture and often try to travel to places where I have friends to show me around.  I am passionate about languages and my travels allow me to practice them :)",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, government_id, work_email",1,1,1125,4.0
142,144,"Hi, I am a professional living and working in London.  I am friendly and like to meet new friends.  I enjoy travelling and going to cinema.",within a day,50-89%,2.0,2.0,"email, phone, reviews",1,1,1125,2.0
143,145,,within an hour,100%,1.0,1.0,"phone, reviews, jumio, work_email",1,1,1125,4.0
144,146,,within a few hours,100%,1.0,1.0,"email, phone, reviews",1,1,31,3.0
145,147,"Femme, 38 ans",within a day,100%,1.0,1.0,"email, phone, reviews, jumio, offline_government_id, government_id",1,1,1125,2.0
146,148,,unknown,unknown,1.0,1.0,"email, phone, jumio",1,1,1125,1.0
147,149,,within an hour,100%,1.0,1.0,"email, phone, reviews",1,1,1125,4.0
148,150,User of air bnb as traveler and host. Glad to meet you :),within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",1,2,1125,4.0
149,151,Depuis plus que 25 ans a votre service... Pour un prix très raisonnable nous vous offrons... un sourire aussi... A Bientôt...,within a few hours,50-89%,1.0,1.0,"email, phone, reviews",2,1,365,3.0
150,152,,within an hour,50-89%,1.0,1.0,"email, phone, facebook, reviews",1,1,1125,4.0
151,153,,within an hour,50-89%,1.0,1.0,"email, phone, reviews, jumio, offline_government_id, government_id",1,1,7,4.0
152,154,Happy Little Person - Love Antwerp - Love good food - Music Producer on the side - Real Estate inventor in real life - Always in for a cozy time!,within an hour,50-89%,1.0,1.0,"email, phone, linkedin, reviews, jumio, government_id, work_email",1,1,14,4.0
153,155,,within an hour,100%,1.0,1.0,"email, phone, google, reviews, jumio, government_id",1,1,1125,4.0
154,156,"Hey guys ! Welcome in Brussels in our lovely big house in the city center ! Here you'll be quiet and sometimes we can also party together because HERE it's a youth house and we all need parties !  We often have barbecues with the neighboors who are pretty funny.  I study art and I work in a bar, so I'm a bit busy but if you want, I can show you some hidden places in my town !   Enjoy your trip !!",a few days or more,0-49%,2.0,2.0,"email, phone, reviews, jumio",1,1,1125,0.0
155,157,"Hey guys ! Welcome in Brussels in our lovely big house in the city center ! Here you'll be quiet and sometimes we can also party together because HERE it's a youth house and we all need parties !  We often have barbecues with the neighboors who are pretty funny.  I study art and I work in a bar, so I'm a bit busy but if you want, I can show you some hidden places in my town !   Enjoy your trip !!",a few days or more,0-49%,2.0,2.0,"email, phone, reviews, jumio",2,1,20,0.0
156,158,,within an hour,100%,1.0,1.0,"email, phone, reviews",1,2,1125,4.0
157,159,,within an hour,90-99%,3.0,3.0,"email, phone, reviews, work_email",2,1,365,4.0
158,160,,within an hour,90-99%,3.0,3.0,"email, phone, reviews, work_email",2,1,365,4.0
159,161,,within an hour,90-99%,3.0,3.0,"email, phone, reviews, work_email",2,1,1125,4.0
160,162,,within an hour,100%,2.0,2.0,"email, phone, reviews",1,1,31,4.0
161,163,,within an hour,100%,2.0,2.0,"email, phone, reviews",1,1,99,4.0
162,164,,within a few hours,100%,3.0,3.0,"email, phone, reviews",2,3,1125,3.0
163,165,,within a few hours,100%,3.0,3.0,"email, phone, reviews",2,2,1125,3.0
