property_id,Dutch,English,French,Germany,property_type,property_room_type,property_max_guests,property_bathrooms,property_bedrooms,cluster_label,centroid_distance,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,[24-hourcheck-in,accessible-heightbed,airconditioning,babybath,babymonitor,babysitterrecommendations,bathtub,bbqgrill,beachessentials,bedlinens,breakfast,buzzer/wirelessintercom,cabletv,carbonmonoxidedetector,cat(s),changingtable,children’sbooksandtoys,children’sdinnerware,cleaningbeforecheckout,coffeemaker,cookingbasics,crib,disabledparkingspot,dishesandsilverware,dishwasher,dog(s),doorman,doormanentry,dryer,elevatorinbuilding,essentials,ethernetconnection,extrapillowsandblankets,family/kidfriendly,fireextinguisher,fireplaceguards,firmmatress,firstaidkit,flatsmoothpathwaytofrontdoor,freeparkingonpremises,freeparkingonstreet,gameconsole,gardenorbackyard,grab-railsforshowerandtoilet,gym,hairdryer,hangers,heating,highchair,hottub,hotwater,indoorfireplace,internet,iron,keypad,kitchen,laptopfriendlyworkspace,lockbox,lockonbedroomdoor,longtermstaysallowed,luggagedropoffallowed,microwave,otherpet(s),outletcovers,oven,pack’nplay/travelcrib,pathtoentrancelitatnight,patioorbalcony,petsallowed,petsliveonthisproperty,pocketwifi,pool,privatebathroom,privateentrance,privatelivingroom,refrigerator,roll-inshowerwithshowerbenchorchair,room-darkeningshades,safetycard,selfcheck-in,shampoo,singlelevelhome,smartlock,smokedetector,smokingallowed,stairgates,step-freeaccess,stove,suitableforevents,tablecornerguards,translationmissing:en.hosting_amenity_49,translationmissing:en.hosting_amenity_50,tv,washer,washer/dryer,wheelchairaccessible,wideclearancetobed,wideclearancetoshowerandtoilet,widedoorway,widehallwayclearance,windowguards,wirelessinternet],property_scraped_at_host_since,property_last_updated,host_location_belgium_brussels,host_location_belgium_flanders,host_location_belgium_other_regions,host_location_other_countries,host_response_rate,host_nr_listings,host_nr_listings_total,booking_price_covers,booking_min_nights,booking_max_nights,property_beds,responsetime_code,logic_host_verified,extra_beds,reviews_acc,reviews_cleanliness,reviews_checkin,reviews_communication,reviews_location,reviews_value,reviews_per_month,Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable,Require Guest Profile Picture,Require Guest Phone Verification,None,target,booking_availability_30,booking_availability_60,booking_availability_90,booking_availability_365,reviews_num,reviews_last,reviews_rating,booking_cancel_policy
11,FALSE,TRUE,FALSE,FALSE,0,0,4,1.5,2,0,6.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1271,90,1,0,0,0,70,2,2,4,2,1125,2,3,FALSE,0,10,9,9,10,9,9,0.42,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27,30,60,90,358,14,127,92,1
12,FALSE,FALSE,TRUE,FALSE,12,1,2,1,1,0,0.27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,201,0,1,0,0,0,100,2,2,1,1,1125,2,1,FALSE,1,10,10,10,10,10,10,6.33,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,35,4,26,46,321,42,2,100,1
13,FALSE,FALSE,TRUE,FALSE,0,1,2,1,1,0,0.32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,201,0,1,0,0,0,100,2,2,1,1,1125,1,1,FALSE,1,10,10,10,10,10,9,4.33,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,45,13,43,73,346,28,2,94,1
14,FALSE,FALSE,TRUE,FALSE,0,0,3,1,0,0,1.26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,14,1,0,0,0,100,1,1,1,2,1125,2,1,FALSE,2,7,8,10,9,8,7,1.3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,80,0,7,37,127,8,22,77,3
15,FALSE,TRUE,FALSE,FALSE,0,1,2,1,1,1,1.51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1274,14,0,1,0,0,92.06158125,2,2,1,2,1125,1,0,FALSE,1,10,10,10,10,10,10,2.39,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,179,0,0,0,0,51,286,96,2
16,FALSE,TRUE,FALSE,FALSE,0,0,5,1,2,1,1.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1274,14,0,1,0,0,92.06158125,2,2,1,2,1125,4,0,FALSE,4,10,9,10,10,9,9,0.24,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,0,0,0,3,341,100,2
17,FALSE,TRUE,FALSE,FALSE,0,0,4,2,2,0,5.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,202,42,1,0,0,0,91,2,2,1,2,15,2,1,FALSE,3,10,9,10,10,9,10,6.32,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,40,13,20,38,38,24,8,97,3
18,FALSE,FALSE,TRUE,FALSE,0,0,2,1,1,0,1.45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1270,480,1,0,0,0,92.06158125,1,1,1,2,10,1,0,FALSE,1,10,10,10,10,10,10,0.25,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,70,0,0,0,0,4,450,100,3
19,FALSE,FALSE,TRUE,FALSE,0,1,2,1.5,1,0,1.18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,14,0,0,0,1,86,1,1,1,3,10,1,3,FALSE,1,10,10,10,10,10,10,0.67,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,0,8,36,36,4,9,100,3
20,FALSE,FALSE,TRUE,FALSE,0,0,2,1,1,1,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,204,90,0,0,0,1,50,1,1,1,2,100,2,3,FALSE,1,9,10,10,10,9,9,1.37,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,90,22,52,82,172,8,25,83,3
21,FALSE,FALSE,FALSE,TRUE,0,0,2,1,1,1,1.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1273,0,0,1,0,0,100,1,1,1,2,1125,1,1,TRUE,1,10,10,10,10,9,10,4.87,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,28,0,5,7,80,32,1,99,3
22,FALSE,TRUE,FALSE,FALSE,0,0,2,1,1,0,4.71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1270,5,1,0,0,0,100,4,4,1,5,1125,1,1,FALSE,1,9,8,10,9,8,9,1.99,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,53,8,22,36,65,16,11,89,1
23,FALSE,TRUE,FALSE,FALSE,0,0,2,1,0,0,4.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1270,21,1,0,0,0,100,4,4,1,5,1125,1,1,FALSE,1,10,10,10,10,9,9,0.71,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,98,1,25,55,145,4,128,95,3
25,FALSE,TRUE,FALSE,FALSE,0,0,4,1,0,0,4.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1269,7,1,0,0,0,100,4,4,1,5,1125,1,1,FALSE,3,8,8,9,9,8,9,1.9,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,50,8,22,42,43,9,19,87,1
26,FALSE,TRUE,FALSE,FALSE,15,0,2,1,0,0,2.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,462,35,1,0,0,0,100,1,1,1,5,1125,1,2,FALSE,1,10,10,10,10,10,10,0.35,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,0,0,9,9,5,326,100,3
27,FALSE,FALSE,TRUE,FALSE,0,0,2,1,1,0,1.37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1269,60,1,0,0,0,100,1,1,2,2,1125,1,3,FALSE,0,10,10,10,10,10,10,0.21,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,30,0,5,35,310,4,540,100,2
28,FALSE,FALSE,FALSE,TRUE,14,0,4,1,2,1,1.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,14,0,0,0,1,43,1,1,2,2,7,3,4,FALSE,2,10,10,10,9,10,10,1.91,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,169,0,0,11,11,12,31,95,3
29,FALSE,FALSE,TRUE,FALSE,0,0,3,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,3,1,0,0,0,100,1,1,1,1,1125,2,1,FALSE,2,8,8,9,9,9,8,3.33,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,45,6,24,46,321,138,6,77,1
30,FALSE,TRUE,FALSE,FALSE,0,0,2,1,1,0,1.28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2087,35,1,0,0,0,100,1,1,2,3,27,1,3,TRUE,0,10,10,10,8,10,10,0.24,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,75,6,24,54,54,1,126,100,1
31,FALSE,FALSE,TRUE,FALSE,0,0,2,1,1,0,2.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1269,0,1,0,0,0,100,1,1,2,2,1125,1,1,FALSE,0,10,10,10,10,10,10,3.45,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,125,10,39,69,159,26,2,98,2
32,FALSE,FALSE,TRUE,FALSE,0,1,2,2,1,0,6.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200,0,1,0,0,0,100,2,2,1,1,7,1,1,FALSE,1,9,9,10,10,8,9,2.84,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,50,28,58,88,88,18,5,89,3
33,FALSE,FALSE,TRUE,FALSE,0,1,2,2,1,0,6.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,199,0,1,0,0,0,100,2,2,1,1,90,1,1,FALSE,1,9,9,9,9,9,9,1.4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,70,1,1,18,19,5,10,92,3
