property_id,property_zipcode,property_type,property_room_type,property_max_guests,property_bathrooms,property_bedrooms,cluster_label,centroid_distance
56,1020,15,0,3,1.5,1.0,5,0.67
57,1050,0,1,1,1.0,1.0,4,0.77
58,1060,0,0,4,1.0,1.0,9,0.4
59,1200,0,0,2,1.0,1.0,3,0.75
60,2018,14,0,6,1.0,4.0,6,0.58
61,1080,0,1,2,1.0,1.0,2,1.26
62,1060,0,0,4,1.5,2.0,9,0.57
63,1170,0,1,3,1.0,1.0,7,2.45
64,1170,0,1,2,1.0,1.0,7,2.44
65,1060,0,0,3,1.0,1.0,9,0.63
66,1160,14,0,5,2.0,3.0,3,1.97
67,1040,0,0,3,1.0,1.0,4,1.09
68,1050,14,1,2,1.0,1.0,4,0.97
69,1050,14,0,7,2.0,4.0,4,0.9
70,1020,0,0,2,1.0,1.0,5,1.23
71,1060,0,0,3,1.0,2.0,9,1.07
72,2000,0,0,2,1.0,1.0,1,0.64
73,2000,0,0,2,1.0,1.0,1,0.55
74,2000,0,0,2,1.0,1.0,1,0.54
75,2000,8,0,2,1.0,0.0,1,0.68
76,2000,0,0,2,1.0,0.0,1,0.56
77,1040,0,0,4,1.0,1.0,7,1.26
78,1050,14,1,2,1.0,1.0,4,0.56
79,1000,0,0,4,1.0,1.0,0,0.8
80,2060,0,1,2,0.5,1.0,6,0.88
81,1060,14,0,4,1.0,2.0,9,0.73
82,1060,0,1,2,2.0,1.0,4,1.01
83,1050,0,1,1,1.0,1.0,7,1.56
84,1000,0,0,6,1.0,2.0,2,0.29
85,1000,0,1,4,1.0,1.0,2,0.34
86,1190,0,0,5,1.0,1.0,9,1.05
87,2000,1,1,2,1.0,1.0,1,1.08
88,2000,1,1,2,1.0,1.0,1,1.22
89,1030,0,1,2,2.0,1.0,0,1.55
90,1000,0,1,2,1.0,1.0,2,0.96
91,1210,0,0,4,1.0,2.0,0,0.89
92,1000,0,0,4,1.0,1.0,2,0.61
93,1000,0,0,2,1.0,0.0,2,0.43
94,1000,0,0,4,1.0,2.0,2,1.05
95,1000,0,0,2,1.0,0.0,2,1.23
96,1000,0,1,2,1.0,1.0,2,0.81
97,1200,0,1,2,1.0,1.0,3,2.02
98,1060,0,1,1,1.0,1.0,9,1.6
99,1050,16,2,1,1.0,1.0,7,0.71
100,1050,16,0,2,1.0,0.0,7,0.65
101,1180,0,1,2,1.0,1.0,9,1.73
102,1000,0,0,2,1.0,1.0,2,0.78
103,1050,14,1,2,1.0,1.0,4,0.4
104,1050,0,0,4,1.0,2.0,4,0.65
105,1060,0,0,2,1.0,1.0,9,0.44
106,1050,1,1,2,0.5,1.0,9,0.86
107,1040,0,1,2,1.0,1.0,7,1.13
108,1000,0,0,2,1.0,1.0,0,1.3
109,1070,0,0,4,1.0,2.0,2,1.19
110,2018,0,0,4,1.0,1.0,1,1.22
111,1000,0,0,4,2.5,2.0,4,0.84
112,1000,0,0,4,1.5,1.0,4,0.7
113,1050,0,0,2,1.0,0.0,4,0.09
114,1180,0,0,4,1.0,2.0,4,1.4
115,1050,0,0,4,1.0,1.0,4,0.71
116,1050,0,0,6,1.5,2.0,4,0.38
118,2018,0,0,5,1.5,3.0,1,1.23
119,1160,0,0,2,1.0,1.0,3,2.3
120,1200,0,1,2,1.0,1.0,7,1.84
121,1050,0,0,5,1.5,2.0,4,0.74
122,1000,0,0,2,1.0,1.0,2,0.29
123,1000,0,0,5,1.0,2.0,2,0.59
124,1000,0,0,2,1.0,1.0,2,0.61
125,2000,0,0,2,1.0,1.0,1,1.0
126,1000,12,1,3,1.0,1.0,2,0.83
127,1000,1,1,3,1.5,1.0,2,0.8
128,1000,1,1,4,1.0,1.0,2,0.84
129,1000,1,1,4,1.5,1.0,2,0.65
130,1000,12,1,2,1.0,1.0,2,0.77
131,2600,14,0,5,1.0,3.0,6,2.1
132,2000,0,0,4,1.0,1.0,1,1.13
133,2000,0,0,4,1.0,1.0,1,1.34
134,1030,0,1,1,1.0,1.0,0,0.51
135,1030,0,2,2,1.0,1.0,0,0.61
136,1060,0,0,1,1.0,0.0,9,1.17
137,1050,0,2,1,1.0,1.0,4,0.56
138,2000,0,0,4,1.0,1.0,1,0.18
139,2180,14,0,4,1.0,3.0,6,8.04
140,1150,14,1,2,1.0,1.0,3,2.04
141,1040,12,1,2,1.0,0.0,7,0.94
142,1040,0,0,2,1.0,1.0,7,0.89
143,1000,0,0,4,1.5,0.0,0,1.34
144,1083,0,1,2,1.0,1.0,8,2.61
145,2018,0,0,2,1.0,1.0,6,1.57
146,2018,0,0,2,1.5,1.0,6,1.33
147,1190,0,1,2,1.0,1.0,9,1.06
148,1060,0,0,3,1.0,1.0,9,0.91
149,1000,0,1,3,1.0,1.0,2,0.65
150,1050,0,0,3,1.0,1.0,4,0.2
151,1040,14,0,2,1.0,1.0,7,1.41
153,1140,0,2,1,2.0,1.0,0,1.78
154,2000,0,0,6,1.0,2.0,1,0.83
155,1000,0,1,2,1.0,1.0,2,0.74
156,1000,14,1,1,2.0,1.0,2,0.5
157,1000,14,1,3,2.0,1.0,2,0.49
158,1050,0,0,2,1.5,1.0,4,0.34
159,1000,0,0,2,1.0,1.0,2,0.49
160,1000,0,0,2,1.0,0.0,2,0.57
161,1000,0,0,4,1.0,2.0,0,1.18
162,1020,14,1,4,1.0,1.0,5,2.72
163,1020,14,1,2,1.0,1.0,5,2.63
166,1050,0,0,4,1.0,1.0,4,0.59
167,1000,0,1,2,1.0,1.0,2,1.09
168,1050,0,1,2,1.0,1.0,7,0.57
169,1050,0,0,4,1.0,2.0,7,0.86
170,1050,0,1,2,1.0,1.0,7,0.52
171,1000,0,0,4,1.0,1.0,2,0.42
172,1000,0,0,4,1.0,1.0,2,0.41
173,2000,0,0,2,1.0,1.0,1,0.85
174,1210,0,0,3,1.0,1.0,0,1.05
175,1000,0,0,4,1.5,2.0,2,1.0
176,2018,0,0,4,1.0,2.0,1,0.64
177,2000,0,0,2,1.0,1.0,1,1.34
178,1030,14,1,1,1.0,1.0,0,0.92
180,1020,20,1,1,1.0,1.0,5,0.96
181,1150,0,0,2,1.0,1.0,3,1.88
182,1060,0,1,1,2.5,1.0,9,0.45
183,1000,0,0,4,2.0,2.0,2,1.38
184,1050,0,0,4,1.0,2.0,4,0.67
185,1000,0,0,4,2.0,2.0,2,0.53
186,1050,0,1,2,1.0,1.0,4,0.96
187,1060,12,1,3,1.0,1.0,9,0.51
188,1050,1,1,2,4.0,4.0,4,1.27
189,1190,0,0,6,2.5,3.0,9,0.78
190,1020,0,0,6,1.0,2.0,0,4.07
191,2600,0,0,2,1.0,2.0,6,2.3
192,1080,14,1,2,1.0,1.0,8,1.44
193,1040,0,0,4,1.0,1.0,7,0.95
194,1050,0,0,2,1.0,1.0,4,0.45
195,1060,0,0,2,1.0,1.0,9,0.47
196,1080,14,1,2,1.0,1.0,8,1.58
197,1050,14,0,6,2.0,3.0,4,1.01
198,1030,0,0,4,1.5,2.0,0,1.21
199,1050,0,0,5,1.0,2.0,7,1.42
200,1030,0,1,2,1.5,1.0,0,1.31
201,1030,0,1,2,1.5,1.0,0,1.12
202,1060,15,0,2,1.5,1.0,9,1.01
204,1180,0,1,2,1.0,1.0,9,1.34
205,1030,0,0,4,2.0,2.0,0,0.99
206,1160,0,1,2,1.0,1.0,3,2.3
207,1070,0,2,2,1.0,1.0,2,1.33
208,1170,0,0,2,1.0,1.0,7,2.25
209,1180,15,0,2,1.0,1.0,4,1.62
210,1070,0,1,2,1.5,1.0,8,1.31
211,1050,8,0,2,1.0,0.0,7,0.54
212,1160,0,0,2,1.0,1.0,7,0.51
213,1000,0,0,4,1.0,3.0,7,2.94
214,1020,15,0,4,1.0,1.0,5,0.89
215,1000,0,0,2,1.0,0.0,4,0.96
216,2000,0,0,2,1.0,0.0,1,1.08
217,1050,0,0,2,1.0,1.0,4,0.27
218,1050,0,1,1,1.0,1.0,4,0.52
219,2000,0,0,2,1.0,0.0,1,1.41
220,1060,0,0,2,1.0,1.0,9,0.96
221,1000,0,0,1,1.0,1.0,0,1.27
222,1050,0,0,6,1.0,2.0,4,0.62
223,2018,0,0,2,1.0,1.0,1,1.1
224,2000,0,0,2,1.0,0.0,1,0.81
225,1050,0,0,2,1.0,1.0,4,0.75
226,1040,0,1,2,1.0,1.0,7,1.04
227,1160,14,1,2,1.0,1.0,3,2.91
228,1000,0,0,2,1.0,1.0,4,1.63
229,1170,0,0,4,1.0,1.0,7,1.42
230,1000,0,0,4,1.0,1.0,2,1.88
231,1000,8,1,2,1.0,1.0,2,0.74
232,1000,15,0,7,1.0,3.0,2,0.68
233,2140,0,0,2,1.0,1.0,6,1.23
234,2000,16,0,3,1.0,0.0,1,1.24
235,1000,0,1,2,1.0,1.0,4,0.52
236,1050,0,1,1,1.0,1.0,4,0.72
237,1210,0,1,1,4.0,1.0,0,0.64
238,2018,0,0,2,1.0,1.0,6,0.72
239,1000,0,1,2,1.0,1.0,2,0.28
240,1060,14,0,6,2.0,5.0,9,0.86
241,1060,0,0,2,1.0,1.0,9,0.49
242,1030,0,0,2,2.0,1.0,0,1.62
243,2140,14,1,3,1.0,1.0,6,0.28
244,2000,20,0,4,1.0,2.0,1,1.12
245,2018,0,0,3,1.0,1.0,6,1.45
246,1000,0,0,4,1.0,2.0,2,0.51
247,1000,15,1,2,1.0,1.0,2,0.33
248,2100,0,0,2,1.0,0.0,6,3.62
249,2100,14,1,2,1.5,1.0,6,2.74
251,1050,0,0,1,1.0,1.0,4,0.74
252,1050,0,0,2,1.0,1.0,4,0.74
253,1000,0,0,4,1.0,1.0,4,0.31
254,1050,0,0,4,1.0,0.0,4,0.62
255,1180,0,0,2,1.0,1.0,4,1.37
256,1180,0,0,16,8.0,8.0,4,1.44
257,2018,0,0,2,1.0,1.0,1,1.01
258,1180,8,0,2,1.0,2.0,4,1.89
259,1050,0,0,4,2.0,3.0,9,0.84
260,1050,0,0,3,1.0,1.0,4,1.05
261,1190,14,1,2,1.0,1.0,9,2.21
262,1180,20,1,2,1.0,1.0,4,4.14
263,1180,14,1,1,1.0,1.0,4,4.1
264,1000,0,0,2,1.0,1.0,2,0.14
265,1020,0,0,4,1.0,1.0,5,1.19
266,2018,0,0,2,1.0,1.0,1,1.16
267,2600,8,0,4,1.0,2.0,6,1.32
268,1200,0,0,4,1.0,2.0,3,1.68
269,1000,0,0,2,1.0,1.0,4,3.0
270,1050,1,0,5,1.0,2.0,4,0.5
271,1050,1,1,2,1.0,1.0,4,0.52
272,1050,1,1,3,1.0,1.0,4,0.6
273,1060,0,1,2,1.0,2.0,9,1.19
274,1000,0,0,4,1.0,1.0,2,0.19
276,1050,0,1,2,1.0,1.0,9,0.98
277,1000,0,0,2,1.0,1.0,2,1.09
278,1060,0,0,4,1.0,1.0,9,1.08
279,1060,0,1,2,1.0,1.0,9,0.99
280,1060,12,1,2,1.0,1.0,9,1.0
281,1030,0,0,3,1.0,1.0,2,1.95
282,1030,0,1,2,1.0,1.0,2,1.79
283,1050,0,0,2,1.0,1.0,4,0.47
284,1050,0,0,2,1.0,0.0,4,0.95
285,1080,0,1,2,1.0,1.0,8,0.22
286,1060,0,0,3,1.0,2.0,9,1.0
287,1180,0,0,3,1.0,0.0,9,3.24
288,2000,0,1,2,1.0,1.0,1,0.43
289,2000,0,0,2,1.0,1.0,1,0.57
290,1000,0,1,2,1.0,1.0,0,1.0
291,1000,0,0,2,1.0,1.0,2,0.65
292,1000,0,1,2,1.0,1.0,2,0.72
293,1060,0,0,2,1.0,1.0,9,0.46
294,1000,12,1,2,1.0,1.0,2,1.27
295,1000,12,1,4,1.0,0.0,2,1.21
296,1000,0,0,4,1.0,0.0,2,1.09
297,1000,0,0,4,1.0,0.0,2,1.07
298,1000,12,1,2,1.0,0.0,2,1.19
299,1000,12,1,2,1.0,0.0,2,1.07
300,1000,14,1,2,1.0,0.0,2,1.07
301,1050,0,0,3,1.0,1.0,4,0.63
302,1040,0,0,5,1.0,2.0,7,1.16
303,1060,20,1,2,2.0,1.0,4,0.73
304,1030,0,0,4,1.0,1.0,0,1.91
305,1070,0,1,2,1.0,1.0,2,1.11
306,1000,14,0,5,2.0,2.0,2,0.83
307,2600,14,1,2,1.5,1.0,6,1.73
308,2000,0,0,4,1.0,2.0,1,1.0
309,2000,0,0,2,1.0,1.0,1,0.69
310,2000,0,1,2,1.0,1.0,1,1.38
311,2000,0,0,2,1.0,0.0,1,1.1
312,2060,0,0,2,1.0,1.0,1,1.89
313,1200,14,0,4,1.0,3.0,3,0.63
314,1050,0,1,2,1.0,1.0,4,0.52
315,1000,0,1,4,1.0,1.0,2,0.48
316,2000,0,0,1,1.0,0.0,1,1.41
317,1060,0,0,3,1.0,2.0,9,1.34
318,1030,14,1,2,1.0,1.0,0,1.83
319,2600,14,1,2,1.0,1.0,6,0.9
320,1040,0,1,2,1.0,1.0,0,1.95
321,1050,0,0,2,1.0,1.0,4,0.15
322,1040,0,0,4,1.0,1.0,7,0.93
323,1040,0,0,4,1.0,2.0,7,1.01
324,2000,0,1,2,1.0,1.0,1,0.38
325,1000,15,0,4,1.0,2.0,2,0.95
326,1200,0,1,2,0.0,1.0,3,0.78
327,1060,0,0,4,1.0,2.0,9,1.07
328,1050,0,0,4,1.0,1.0,4,0.57
329,1050,0,0,4,1.0,1.0,4,0.59
330,2140,0,0,2,1.0,1.0,6,0.94
331,1000,0,0,2,1.0,1.0,2,0.57
332,1030,0,0,2,1.0,1.0,0,1.49
333,2000,0,0,2,1.0,1.0,1,0.39
334,1000,21,2,5,1.0,1.0,3,2.56
335,1000,21,1,5,1.0,1.0,3,2.28
336,1000,21,1,4,1.0,1.0,3,2.55
337,1050,0,0,2,1.0,1.0,4,0.62
338,1180,14,1,2,1.0,1.0,9,2.17
339,1180,0,0,2,1.0,1.0,9,2.0
340,1190,0,0,5,1.0,2.0,9,1.38
341,1000,0,0,2,1.0,1.0,2,0.23
342,1140,0,0,4,1.0,1.0,3,2.68
343,1210,0,0,2,1.0,1.0,0,1.03
344,1150,0,0,2,1.0,0.0,3,2.38
345,2610,1,1,2,1.0,1.0,6,4.19
346,1000,0,0,4,1.0,1.0,2,0.35
347,2000,0,0,2,1.0,1.0,1,0.97
348,1190,0,0,3,1.0,1.0,9,0.52
350,1080,0,0,2,1.0,0.0,5,1.34
351,2000,0,0,2,1.0,1.0,1,0.64
352,2600,0,0,2,1.0,1.0,6,3.37
353,1030,0,0,4,1.0,2.0,0,1.14
354,1030,0,0,4,1.0,0.0,0,1.1
355,1030,0,0,6,2.0,2.0,0,1.06
356,1180,0,0,2,1.0,0.0,4,1.84
357,1040,14,1,2,1.0,1.0,7,1.04
358,2018,0,1,2,1.0,1.0,1,2.16
359,1000,0,0,2,1.0,1.0,0,1.11
360,1040,0,0,4,1.0,2.0,7,0.67
361,1140,0,0,6,1.0,3.0,3,2.83
362,1030,0,0,2,1.0,1.0,0,0.37
363,1050,0,0,2,1.0,1.0,7,1.38
364,1060,0,0,2,1.0,1.0,4,0.81
365,1070,0,0,4,1.0,2.0,8,1.04
366,1000,0,0,4,1.0,1.0,2,0.21
367,2000,0,0,5,1.0,2.0,1,1.05
368,1030,0,0,3,1.0,2.0,0,2.27
369,2060,0,1,6,1.0,2.0,6,0.36
370,2060,0,0,4,1.0,2.0,6,0.56
371,1050,0,0,2,1.0,1.0,4,1.21
372,1020,0,0,2,1.0,1.0,5,1.75
373,1020,0,0,2,1.0,1.0,5,1.78
374,2140,20,0,4,1.0,3.0,6,2.24
375,2600,14,1,2,1.0,1.0,6,1.88
377,1040,15,1,3,1.0,1.0,7,1.44
378,1070,0,0,6,1.0,1.0,8,0.43
379,1030,14,1,1,1.0,1.0,0,1.56
380,1000,0,0,2,1.0,1.0,0,0.89
381,1000,14,1,2,1.5,1.0,0,0.9
382,1000,0,0,4,1.0,1.0,2,1.12
383,2060,0,0,2,1.0,1.0,6,1.83
384,2060,14,1,2,1.0,1.0,6,1.32
385,2018,0,1,2,1.0,1.0,6,1.21
386,1070,12,1,2,1.0,1.0,8,2.69
387,1210,0,0,2,1.0,0.0,0,0.77
388,1000,0,0,3,1.0,1.0,2,1.65
389,1060,0,0,2,1.0,1.0,9,0.34
390,2610,0,1,2,1.5,1.0,1,3.47
391,1000,0,0,2,1.0,1.0,2,0.78
392,1040,0,0,2,1.0,1.0,4,1.16
393,1040,0,0,6,1.0,2.0,4,1.24
394,1083,17,0,2,1.0,1.0,5,1.86
395,1210,0,1,1,1.0,1.0,0,0.66
396,2100,0,0,4,1.0,2.0,6,2.24
397,2000,14,1,2,1.5,1.0,1,1.31
398,1070,0,1,2,1.0,1.0,8,1.13
399,2000,14,1,3,1.5,1.0,1,1.46
400,2000,14,1,2,1.0,1.0,1,1.55
401,2000,14,1,4,1.5,1.0,1,1.61
402,2000,14,1,2,1.5,1.0,1,1.39
403,1050,14,1,2,1.0,1.0,4,0.98
404,1000,0,1,2,1.0,1.0,2,0.38
406,1190,0,1,2,1.0,1.0,9,0.86
407,1190,0,1,2,1.0,1.0,9,0.76
408,2060,0,0,2,1.0,1.0,6,1.0
409,2060,0,0,4,1.0,2.0,6,0.9
410,1190,14,1,2,1.0,1.0,9,2.02
411,1060,1,1,2,1.0,1.0,9,0.56
412,1060,1,1,2,1.0,1.0,9,0.71
413,1060,1,1,2,1.0,1.0,9,0.77
414,1060,0,0,6,1.0,1.0,4,0.8
415,1030,0,0,2,1.0,1.0,0,0.67
416,1050,0,0,2,1.0,0.0,4,0.78
417,1050,0,0,7,2.0,3.0,4,0.64
418,1050,0,1,2,1.0,1.0,4,1.19
419,1050,0,0,3,1.0,1.0,4,1.27
420,2000,0,0,4,1.0,2.0,1,0.79
421,1000,0,0,3,1.0,0.0,2,0.63
422,1080,15,1,4,1.0,1.0,5,0.64
423,1070,8,0,1,1.0,0.0,8,4.34
425,2100,0,0,2,1.0,1.0,6,1.98
426,1060,0,0,1,1.0,1.0,9,0.8
427,1050,0,0,2,1.0,1.0,9,0.95
429,1000,0,0,2,1.0,1.0,2,0.59
430,1000,0,0,2,1.0,0.0,2,0.69
431,1000,0,0,2,1.0,1.0,2,0.58
432,1000,0,0,4,1.0,1.0,2,0.54
433,1000,0,0,4,1.0,0.0,2,0.69
434,1030,0,0,4,1.0,1.0,0,1.31
436,1030,0,1,2,1.0,1.0,0,1.41
437,1160,14,1,2,1.0,1.0,3,2.87
438,1050,0,1,2,1.0,1.0,7,1.36
440,1081,0,0,4,1.0,1.0,5,1.98
441,1000,0,0,5,1.0,2.0,2,0.44
442,1000,0,0,4,1.0,2.0,2,0.56
443,1030,0,0,2,1.0,1.0,0,0.29
444,1030,0,0,2,1.0,1.0,0,1.34
445,1060,0,0,3,1.5,1.0,9,0.44
446,1060,0,0,3,1.0,1.0,4,1.09
447,1060,0,0,4,1.0,1.0,4,1.01
448,2018,0,0,4,1.0,1.0,6,1.04
449,1200,0,1,2,1.0,1.0,3,2.18
451,1180,0,1,2,1.0,1.0,9,3.88
452,1050,0,0,6,1.0,2.0,7,0.88
453,2610,0,1,4,1.0,2.0,1,3.62
454,1030,14,1,3,1.0,1.0,0,0.57
455,1030,14,1,2,1.0,1.0,0,0.78
456,1000,0,0,4,1.0,1.0,2,0.15
457,1060,0,0,4,1.0,1.0,4,0.76
458,1050,0,0,2,1.0,0.0,4,0.36
459,1140,0,0,2,1.0,1.0,0,2.91
460,1000,0,0,3,1.0,0.0,0,1.4
461,2060,0,0,4,1.0,1.0,6,1.91
462,1190,0,0,2,1.0,1.0,9,1.96
463,2018,0,1,4,1.0,1.0,6,0.85
464,2018,0,1,4,1.0,1.0,1,1.08
465,2000,0,0,2,1.0,0.0,1,1.1
466,1180,14,1,2,1.0,1.0,9,1.37
467,1070,0,0,4,1.0,2.0,9,1.83
468,2000,1,1,4,2.0,2.0,1,0.33
470,1200,0,0,4,1.5,2.0,3,1.6
471,1200,0,1,2,1.5,1.0,3,1.52
472,1000,0,1,2,1.0,1.0,0,1.2
473,1020,0,0,4,2.5,2.0,5,3.09
474,2000,0,0,4,1.0,2.0,1,1.12
475,1000,0,0,4,1.0,2.0,2,0.82
476,1000,0,0,2,1.0,1.0,2,0.87
477,1060,0,0,2,1.0,0.0,4,0.78
478,1050,20,1,2,1.0,1.0,4,0.83
479,2000,0,0,7,2.0,2.0,1,1.18
480,1070,0,0,2,1.0,0.0,9,1.75
481,1000,0,0,4,1.0,1.0,2,0.27
482,1000,0,0,4,1.0,0.0,2,0.14
484,1050,0,0,4,1.0,1.0,4,0.33
485,2018,0,0,2,1.0,1.0,1,0.91
486,1050,0,0,4,1.0,2.0,4,0.81
487,1160,14,1,2,1.5,1.0,7,2.17
488,1160,14,1,2,1.5,1.0,7,2.24
489,1160,14,1,2,1.5,1.0,7,2.2
490,1060,0,0,2,1.0,0.0,9,0.77
491,1000,0,0,4,1.0,2.0,2,1.13
492,1200,0,1,2,1.5,1.0,3,0.56
493,1020,14,0,2,1.0,1.0,5,1.24
494,1040,0,1,2,1.0,1.0,4,1.04
495,2950,14,0,5,1.0,3.0,6,8.64
497,2000,0,0,4,1.0,2.0,1,0.45
498,1000,15,0,4,1.0,2.0,2,0.44
499,1000,0,1,2,1.0,1.0,2,0.61
501,1180,0,1,3,1.0,1.0,9,2.85
502,1050,0,1,2,1.0,1.0,4,1.05
503,1050,0,1,1,1.0,1.0,4,1.0
504,2018,0,0,2,1.0,0.0,1,1.46
505,1000,1,1,2,1.0,1.0,2,0.4
506,1000,1,1,2,1.0,1.0,2,0.3
507,1000,1,1,2,1.0,1.0,2,0.34
508,1000,1,1,2,1.0,1.0,2,0.47
509,1000,1,1,3,1.0,1.0,2,0.33
510,1000,1,1,4,1.0,2.0,2,0.34
511,1000,1,1,10,4.0,6.0,2,0.39
512,1050,0,0,4,2.0,1.0,7,1.02
513,2140,1,1,2,2.0,1.0,6,0.29
514,2140,1,1,2,2.0,1.0,6,0.36
515,1050,0,0,6,1.0,2.0,4,0.68
516,1700,14,1,2,1.0,1.0,8,1.8
517,1200,17,2,2,0.5,1.0,3,1.84
518,1020,0,0,4,1.0,2.0,5,1.97
519,1040,0,1,2,1.0,1.0,7,1.53
520,1060,0,0,2,1.0,1.0,9,0.64
521,1180,14,1,2,1.0,1.0,9,1.14
522,1150,14,0,6,2.0,3.0,3,1.23
523,1150,14,0,6,2.0,3.0,3,2.52
524,2140,14,0,9,3.0,4.0,6,0.23
525,2140,0,0,9,2.0,3.0,6,0.18
526,1000,1,1,2,1.0,1.0,2,0.46
527,1050,0,1,1,1.0,1.0,9,0.91
528,1080,1,1,2,1.0,1.0,5,1.21
529,1080,0,0,5,1.0,1.0,5,1.18
530,1080,1,1,3,1.0,1.0,5,1.29
531,1080,1,1,2,1.0,1.0,5,1.3
532,1080,0,0,4,1.0,1.0,5,1.3
533,1050,0,0,2,1.0,1.0,4,0.48
534,1000,0,0,4,1.0,1.0,2,0.11
535,1000,0,0,4,1.0,1.0,2,0.18
536,1000,0,0,2,1.0,1.0,2,0.2
537,1000,0,0,2,1.0,1.0,2,0.23
538,1000,0,0,2,1.0,0.0,2,0.2
539,1000,0,0,7,1.5,2.0,2,0.24
540,1000,0,0,2,1.0,1.0,2,0.25
541,1000,0,0,2,1.0,1.0,2,0.4
542,1000,0,1,2,1.0,1.0,2,1.35
543,1000,0,0,2,1.0,1.0,2,1.25
544,1070,0,1,2,1.0,1.0,8,2.13
545,1070,0,1,2,1.0,1.0,8,2.1
546,1060,0,1,2,1.0,1.0,9,0.82
547,1000,0,0,5,2.0,2.0,2,0.76
548,1040,0,0,1,1.0,1.0,0,1.57
549,1050,0,0,2,1.0,1.0,9,0.92
550,1060,14,1,1,2.5,1.0,9,0.67
551,1060,14,1,2,2.5,1.0,9,0.6
552,1160,0,0,2,1.0,0.0,3,1.76
553,1000,0,0,4,1.0,1.0,2,0.78
554,2018,0,1,2,1.0,1.0,1,0.7
555,2018,0,0,2,1.0,1.0,6,0.59
556,2140,0,0,2,1.0,1.0,6,0.48
557,2100,0,0,2,1.0,1.0,6,3.04
559,1030,0,0,1,1.0,0.0,0,0.25
560,1210,0,1,4,1.0,1.0,0,1.03
561,2600,0,0,5,1.0,2.0,6,2.62
562,1060,0,0,2,1.0,1.0,2,1.6
563,1060,0,0,3,1.0,1.0,2,1.59
564,1060,0,0,2,1.0,1.0,9,1.39
565,1060,0,0,2,1.0,1.0,2,1.55
566,2140,0,0,4,1.0,2.0,6,1.69
567,2140,0,0,4,1.0,2.0,6,0.88
568,1050,0,1,2,1.0,1.0,4,0.82
569,1050,0,1,1,1.0,1.0,4,1.18
570,1050,0,1,2,1.0,1.0,4,1.27
571,1000,16,0,3,1.0,1.0,2,0.71
572,1190,0,1,1,1.0,1.0,9,0.22
573,2100,14,1,2,1.0,1.0,6,2.55
574,1000,0,0,4,1.0,2.0,2,0.44
575,1000,0,0,4,1.0,2.0,2,0.33
576,1000,0,1,3,1.0,1.0,2,0.23
577,1050,0,0,4,1.0,2.0,4,1.23
578,1160,0,0,3,1.0,1.0,3,2.94
579,1000,0,1,10,1.0,4.0,0,1.16
580,1000,0,1,2,1.0,1.0,0,1.13
581,1000,12,1,11,1.0,4.0,0,1.16
